Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,13.18%,-5.45,(-3.05%)
AAPL,Apple Inc.,11.43%,-0.44,(-0.17%)
MSFT,Microsoft,8.88%,-7.25,(-1.86%)
AMZN,Amazon,6.91%,-3.22,(-1.54%)
GOOGL,Alphabet Inc. (Class A),5.86%,-7.87,(-2.56%)
GOOG,Alphabet Inc. (Class C),5.45%,-7.82,(-2.56%)
META,Meta Platforms,4.67%,-16.95,(-2.79%)
AVGO,Broadcom Inc.,4.63%,-7.82,(-2.45%)
TSLA,"Tesla, Inc.",4.32%,-13.15,(-3.46%)
WMT,Walmart,3.00%,-0.79,(-0.65%)
ASML,ASML Holding,1.56%,-74.94,(-5.48%)
MU,Micron Technology,1.48%,-25.22,(-5.68%)
COST,Costco,1.36%,1.53,(0.16%)
NFLX,Netflix,1.21%,-0.2,(-0.21%)
PLTR,Palantir Technologies,1.12%,-5.8,(-3.73%)
AMD,Advanced Micro Devices Inc.,1.01%,-6.78,(-3.30%)
CSCO,Cisco,0.97%,-0.3,(-0.38%)
LRCX,Lam Research,0.87%,-11.04,(-4.72%)
AMAT,Applied Materials,0.87%,-7.19,(-2.01%)
TMUS,T-Mobile US,0.72%,1.94,(0.94%)
LIN,Linde plc,0.71%,-2.85,(-0.58%)
INTC,Intel,0.68%,-2.47,(-5.35%)
PEP,PepsiCo,0.64%,-2.11,(-1.38%)
KLAC,KLA Corporation,0.60%,-45.79,(-3.03%)
AMGN,Amgen,0.58%,-4.3,(-1.23%)
TXN,Texas Instruments,0.53%,-1.14,(-0.60%)
GILD,Gilead Sciences,0.53%,-3.87,(-2.74%)
ISRG,Intuitive Surgical,0.53%,-4.38,(-0.91%)
SHOP,Shopify,0.47%,-6.41,(-5.24%)
ADI,Analog Devices,0.47%,-3.27,(-1.05%)
APP,Applovin Corp,0.46%,-4.88,(-1.11%)
ARM,Arm Holdings,0.44%,2.63,(2.03%)
HON,Honeywell,0.44%,-8.27,(-3.61%)
QCOM,Qualcomm,0.44%,-0.83,(-0.63%)
PDD,PDD Holdings,0.43%,-0.89,(-0.91%)
BKNG,Booking Holdings,0.43%,17.37,(0.40%)
PANW,Palo Alto Networks,0.42%,-5.99,(-3.53%)
INTU,Intuit,0.39%,0.32,(0.07%)
VRTX,Vertex Pharmaceuticals,0.36%,-3.25,(-0.71%)
SBUX,Starbucks,0.33%,-3.17,(-3.31%)
CMCSA,Comcast,0.33%,0.21,(0.71%)
CEG,Constellation Energy,0.32%,-31.44,(-9.93%)
CRWD,CrowdStrike,0.32%,-21.69,(-5.07%)
ADBE,Adobe Inc.,0.32%,1.7,(0.69%)
WDC,Western Digital,0.31%,-22.59,(-7.13%)
STX,Seagate Technology Holdings,0.29%,-21.94,(-5.05%)
ADP,ADP,0.27%,1.29,(0.61%)
