Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,14.04%,4.26,(2.21%)
AAPL,Apple Inc.,11.76%,1.04,(0.38%)
MSFT,Microsoft,8.66%,8.81,(2.27%)
AMZN,Amazon,6.60%,1.2,(0.58%)
GOOGL,Alphabet Inc. (Class A),5.70%,0.1,(0.03%)
GOOG,Alphabet Inc. (Class C),5.33%,0.18,(0.06%)
META,Meta Platforms,4.83%,11.66,(1.82%)
AVGO,Broadcom Inc.,4.61%,6.01,(1.85%)
TSLA,"Tesla, Inc.",4.55%,4.13,(1.01%)
WMT,Walmart,2.95%,-0.38,(-0.30%)
ASML,ASML Holding,1.73%,22.85,(1.53%)
MU,Micron Technology,1.41%,9.81,(2.35%)
COST,Costco,1.29%,-3.88,(-0.39%)
AMD,Advanced Micro Devices Inc.,1.02%,-0.96,(-0.45%)
NFLX,Netflix,1.02%,4.08,(5.22%)
PLTR,Palantir Technologies,0.95%,6.95,(5.40%)
LRCX,Lam Research,0.91%,5.08,(2.08%)
AMAT,Applied Materials,0.91%,13.69,(3.62%)
CSCO,Cisco,0.91%,0.5,(0.64%)
TMUS,T-Mobile US,0.71%,-2.27,(-1.02%)
LIN,Linde plc,0.69%,2.0,(0.40%)
PEP,PepsiCo,0.68%,-0.91,(-0.54%)
INTC,Intel,0.67%,-0.23,(-0.51%)
AMGN,Amgen,0.61%,1.19,(0.31%)
KLAC,KLA Corporation,0.59%,41.16,(2.73%)
TXN,Texas Instruments,0.57%,-0.52,(-0.24%)
GILD,Gilead Sciences,0.54%,0.58,(0.39%)
ISRG,Intuitive Surgical,0.52%,8.0,(1.62%)
ADI,Analog Devices,0.52%,5.02,(1.41%)
SHOP,Shopify,0.46%,3.5,(2.99%)
HON,Honeywell,0.45%,0.13,(0.05%)
QCOM,Qualcomm,0.45%,-0.37,(-0.25%)
PDD,PDD Holdings,0.44%,0.01,(0.01%)
APP,Applovin Corp,0.42%,29.59,(7.52%)
ARM,Arm Holdings,0.41%,3.54,(2.76%)
BKNG,Booking Holdings,0.39%,62.24,(1.53%)
VRTX,Vertex Pharmaceuticals,0.36%,-1.65,(-0.34%)
CEG,Constellation Energy,0.34%,11.04,(3.53%)
PANW,Palo Alto Networks,0.34%,1.43,(1.01%)
CMCSA,Comcast,0.33%,-0.39,(-1.25%)
SBUX,Starbucks,0.32%,0.71,(0.73%)
ADBE,Adobe Inc.,0.31%,-0.43,(-0.17%)
INTU,Intuit,0.30%,9.17,(2.56%)
WDC,Western Digital,0.29%,25.07,(9.26%)
STX,Seagate Technology Holdings,0.27%,28.0,(7.07%)
MAR,Marriott International,0.27%,2.36,(0.69%)
CRWD,CrowdStrike,0.27%,8.72,(2.49%)
MELI,MercadoLibre,0.26%,-190.09,(-9.89%)
SNPS,Synopsys,0.25%,5.81,(1.32%)
ADP,ADP,0.25%,3.83,(1.86%)
MNST,Monster Beverage,0.25%,0.1,(0.11%)
REGN,Regeneron Pharmaceuticals,0.24%,15.68,(2.03%)
