Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.43%,40.24,(4.52%)
CAT,Caterpillar Inc.,8.93%,48.77,(7.19%)
MSFT,Microsoft Corporation,4.93%,7.43,(1.89%)
HD,"The Home Depot, Inc.",4.73%,2.68,(0.70%)
AMGN,Amgen Inc.,4.70%,14.84,(4.04%)
SHW,Sherwin-Williams,4.44%,0.89,(0.25%)
AXP,American Express Company,4.43%,5.89,(1.66%)
V,Visa Inc.,4.08%,2.95,(0.90%)
MCD,McDonald's Corporation,4.02%,3.55,(1.10%)
JPM,JPMorgan Chase & Co.,3.96%,12.43,(4.01%)
TRV,"The Travelers Companies, Inc.",3.70%,0.81,(0.27%)
IBM,International Business Machines Corporation,3.68%,9.5,(3.28%)
AAPL,Apple Inc.,3.42%,2.54,(0.92%)
UNH,UnitedHealth Group Incorporated,3.39%,7.1,(2.65%)
BA,The Boeing Company,2.99%,6.63,(2.80%)
JNJ,Johnson & Johnson,2.95%,2.51,(1.05%)
HON,Honeywell International Inc.,2.93%,4.71,(2.01%)
AMZN,"Amazon.com, Inc.amazon.com",2.57%,-13.16,(-5.91%)
CRM,"Salesforce, Inc.",2.34%,0.31,(0.16%)
NVDA,Nvidia,2.29%,14.71,(8.56%)
CVX,Chevron Corporation,2.22%,1.61,(0.90%)
MMM,3M Company,2.12%,7.49,(4.54%)
PG,The Procter & Gamble Company,1.96%,0.82,(0.52%)
WMT,Walmart Inc.,1.62%,4.62,(3.64%)
MRK,"Merck & Co., Inc.",1.50%,2.38,(1.99%)
DIS,The Walt Disney Company,1.33%,3.66,(3.48%)
CSCO,"Cisco Systems, Inc.",1.04%,2.41,(2.93%)
KO,The Coca-Cola Company,0.97%,0.54,(0.69%)
NKE,"Nike, Inc.",0.78%,1.18,(1.89%)
VZ,Verizon Communications Inc.,0.57%,-0.78,(-1.65%)
