Symbol,Name,Weight,Chg,% Chg
BSX,Boston Scientific,0.18%,0.13,(0.18%)
CMCSA,Comcast,0.17%,-1.47,(-4.89%)
NOC,Northrop Grumman,0.17%,0.89,(0.12%)
WDC,Western Digital,0.17%,-11.83,(-3.77%)
DUK,Duke Energy,0.17%,-1.64,(-1.24%)
ADBE,Adobe Inc.,0.17%,-7.96,(-3.13%)
DELL,Dell Technologies,0.16%,-4.31,(-2.82%)
HWM,Howmet Aerospace,0.16%,1.35,(0.56%)
GD,General Dynamics,0.16%,-1.92,(-0.54%)
EQIX,Equinix,0.16%,-1.85,(-0.19%)
TT,Trane Technologies,0.16%,1.36,(0.32%)
WM,Waste Management,0.16%,-2.25,(-0.95%)
CVS,CVS Health,0.15%,-1.79,(-2.39%)
STX,Seagate Technology,0.15%,-17.45,(-4.14%)
WMB,Williams Companies,0.15%,-0.29,(-0.39%)
ICE,Intercontinental Exchange,0.15%,-3.69,(-2.29%)
BX,Blackstone Inc.,0.15%,1.66,(1.48%)
PWR,Quanta Services,0.14%,2.02,(0.35%)
MAR,Marriott International,0.14%,-4.73,(-1.45%)
ADP,Automatic Data Processing,0.14%,-1.27,(-0.61%)
AMT,American Tower,0.14%,-5.03,(-2.72%)
MRSH,"Marsh & McLennan Companies, Inc.",0.14%,-0.89,(-0.52%)
UPS,United Parcel Service,0.14%,-0.72,(-0.74%)
SNPS,Synopsys,0.14%,0.0,(0.00%)
FDX,FedEx,0.14%,-5.99,(-1.69%)
JCI,Johnson Controls,0.14%,1.23,(0.93%)
PNC,PNC Financial Services,0.14%,-0.97,(-0.48%)
KKR,KKR,0.13%,1.48,(1.67%)
USB,U.S. Bancorp,0.13%,0.09,(0.18%)
CDNS,Cadence Design Systems,0.13%,-3.56,(-1.21%)
FCX,Freeport-McMoRan,0.13%,-2.69,(-4.63%)
NKE,"Nike, Inc.",0.13%,-1.7,(-3.08%)
ABNB,Airbnb,0.13%,-0.14,(-0.11%)
REGN,Regeneron Pharmaceuticals,0.13%,-14.51,(-1.91%)
BK,BNY Mellon,0.13%,-1.77,(-1.52%)
MCO,Moody's Corporation,0.13%,-3.18,(-0.72%)
SHW,Sherwin-Williams,0.13%,-8.09,(-2.52%)
MSI,Motorola Solutions,0.13%,-2.07,(-0.44%)
MMM,3M,0.13%,-4.06,(-2.72%)
ITW,Illinois Tool Works,0.13%,-7.03,(-2.63%)
CMI,Cummins,0.13%,-0.05,(-0.01%)
CTAS,Cintas,0.12%,-6.88,(-3.57%)
ECL,Ecolab,0.12%,-10.58,(-3.88%)
EOG,EOG Resources,0.12%,1.91,(1.40%)
MNST,Monster Beverage,0.12%,-2.22,(-2.86%)
CSX,CSX Corporation,0.12%,-0.74,(-1.84%)
ORLY,O'Reilly Auto Parts,0.12%,-1.68,(-1.88%)
RCL,Royal Caribbean Group,0.12%,-7.3,(-2.63%)
KMI,Kinder Morgan,0.12%,-0.48,(-1.44%)
EMR,Emerson Electric,0.12%,-3.12,(-2.35%)
MDLZ,Mondelez International,0.12%,-1.39,(-2.41%)
DASH,DoorDash,0.12%,-4.85,(-2.86%)
VLO,Valero Energy,0.12%,3.66,(1.55%)
AEP,American Electric Power,0.12%,-2.69,(-2.01%)
CL,Colgate-Palmolive,0.12%,-2.28,(-2.53%)
MPC,Marathon Petroleum,0.12%,4.74,(2.03%)
CI,Cigna,0.12%,1.14,(0.43%)
PSX,Phillips 66,0.12%,1.16,(0.67%)
LHX,L3Harris,0.12%,2.64,(0.72%)
ROST,Ross Stores,0.11%,3.2,(1.53%)
RSG,Republic Services,0.11%,-2.73,(-1.21%)
TDG,TransDigm Group,0.11%,-20.86,(-1.69%)
CRH,CRH plc,0.11%,-3.03,(-2.88%)
AON,Aon,0.11%,-4.13,(-1.29%)
SLB,Schlumberger,0.11%,-0.88,(-1.91%)
WBD,Warner Bros. Discovery,0.11%,-0.26,(-0.95%)
HLT,Hilton Worldwide,0.11%,-6.6,(-2.19%)
HOOD,"Robinhood Markets, Inc.",0.11%,-2.61,(-3.37%)
GM,General Motors,0.11%,-0.55,(-0.74%)
TRV,Travelers Companies (The),0.11%,-6.77,(-2.21%)
ELV,Elevance Health,0.11%,-2.6,(-0.88%)
APO,Apollo Global Management,0.11%,2.65,(2.43%)
NSC,Norfolk Southern Railway,0.11%,-6.96,(-2.39%)
APD,Air Products,0.11%,-1.65,(-0.58%)
COR,Cencora,0.11%,-9.6,(-2.87%)
SRE,Sempra,0.10%,0.06,(0.06%)
DLR,Digital Realty,0.10%,0.11,(0.06%)
SPG,Simon Property Group,0.10%,-0.65,(-0.34%)
FTNT,Fortinet,0.10%,-0.04,(-0.05%)
PCAR,Paccar,0.10%,-0.84,(-0.73%)
O,Realty Income,0.10%,-1.08,(-1.68%)
OXY,Occidental Petroleum,0.10%,0.78,(1.35%)
TEL,TE Connectivity,0.10%,-7.81,(-3.82%)
VST,Vistra Corp.,0.10%,5.32,(3.24%)
BKR,Baker Hughes,0.09%,0.55,(0.96%)
AFL,Aflac,0.09%,-1.58,(-1.45%)
AZO,AutoZone,0.09%,-79.14,(-2.30%)
D,Dominion Energy,0.09%,-0.23,(-0.37%)
TFC,Truist Financial,0.09%,-0.57,(-1.27%)
CIEN,Ciena Corporation,0.09%,14.97,(4.05%)
OKE,ONEOK,0.09%,-0.47,(-0.54%)
CTVA,Corteva,0.09%,0.16,(0.20%)
FANG,Diamondback Energy,0.09%,3.64,(1.94%)
COIN,Coinbase Global,0.09%,-7.2,(-3.42%)
AJG,Arthur J. Gallagher & Co.,0.09%,-2.54,(-1.22%)
ALL,Allstate,0.09%,-3.4,(-1.64%)
MPWR,Monolithic Power Systems,0.09%,4.85,(0.45%)
ADSK,Autodesk,0.09%,-4.7,(-1.86%)
TGT,Target Corporation,0.09%,-1.86,(-1.59%)
FAST,Fastenal,0.09%,-0.73,(-1.60%)
FIX,"Comfort Systems USA, Inc.",0.08%,13.21,(0.93%)
EXC,Exelon,0.08%,-0.79,(-1.58%)
TRGP,Targa Resources,0.08%,-6.84,(-2.84%)
EA,Electronic Arts,0.08%,0.25,(0.12%)
CAH,Cardinal Health,0.08%,-3.52,(-1.63%)
XEL,Xcel Energy,0.08%,-1.58,(-1.94%)
GWW,W. W. Grainger,0.08%,-16.11,(-1.51%)
ZTS,Zoetis,0.08%,-4.14,(-3.40%)
AME,Ametek,0.08%,-1.8,(-0.84%)
NXPI,NXP Semiconductors,0.08%,-1.01,(-0.52%)
KEYS,Keysight Technologies,0.08%,-3.37,(-1.17%)
NDAQ,"Nasdaq, Inc.",0.08%,-0.82,(-0.95%)
