Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,7.29%,2.86,(1.55%)
AAPL,Apple Inc.,5.83%,-0.18,(-0.07%)
MSFT,Microsoft,5.53%,14.35,(3.18%)
AMZN,Amazon,4.06%,3.42,(1.46%)
GOOGL,Alphabet Inc. (Class A),3.31%,0.92,(0.28%)
GOOG,Alphabet Inc. (Class C),3.08%,0.98,(0.30%)
META,Meta Platforms,2.65%,9.64,(1.49%)
AVGO,Broadcom,2.41%,-7.69,(-2.36%)
TSLA,"Tesla, Inc.",2.38%,-2.17,(-0.48%)
BRK.B,Berkshire Hathaway,1.65%,-5.02,(-1.04%)
LLY,Lilly (Eli),1.54%,-12.02,(-1.11%)
WMT,Walmart,1.51%,0.61,(0.52%)
JPM,JPMorgan Chase,1.29%,-5.14,(-1.69%)
V,Visa Inc.,1.00%,-0.4,(-0.12%)
XOM,ExxonMobil,0.91%,1.88,(1.40%)
JNJ,Johnson & Johnson,0.84%,-0.04,(-0.02%)
ORCL,Oracle Corporation,0.82%,-0.34,(-0.19%)
MA,Mastercard,0.75%,-7.14,(-1.34%)
MU,Micron Technology,0.73%,10.29,(2.59%)
COST,Costco,0.70%,4.49,(0.46%)
AMD,Advanced Micro Devices,0.68%,8.85,(3.49%)
PLTR,Palantir Technologies,0.65%,3.37,(2.03%)
ABBV,AbbVie,0.62%,-0.39,(-0.18%)
HD,Home Depot (The),0.61%,1.08,(0.28%)
BAC,Bank of America,0.60%,-0.76,(-1.45%)
NFLX,Netflix,0.58%,1.98,(2.38%)
PG,Procter & Gamble,0.56%,0.17,(0.11%)
CVX,Chevron Corporation,0.54%,0.73,(0.44%)
UNH,UnitedHealth Group,0.51%,0.21,(0.06%)
GE,GE Aerospace,0.50%,0.29,(0.10%)
KO,Coca-Cola Company (The),0.50%,0.21,(0.29%)
CAT,Caterpillar Inc.,0.47%,-14.76,(-2.28%)
CSCO,Cisco,0.47%,0.22,(0.29%)
MS,Morgan Stanley,0.45%,-3.79,(-2.07%)
GS,Goldman Sachs,0.44%,-27.08,(-2.84%)
