Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",10.69%,-11.51,(-1.38%)
CAT,Caterpillar Inc.,9.20%,-8.93,(-1.25%)
MSFT,Microsoft Corporation,5.25%,-1.46,(-0.36%)
AMGN,Amgen Inc.,4.91%,2.09,(0.56%)
HD,"The Home Depot, Inc.",4.56%,-6.29,(-1.76%)
MCD,McDonald's Corporation,4.23%,-2.75,(-0.84%)
SHW,Sherwin-Williams,4.19%,-7.54,(-2.28%)
V,Visa Inc.,4.02%,-5.39,(-1.72%)
AXP,American Express Company,3.96%,1.61,(0.53%)
TRV,"The Travelers Companies, Inc.",3.90%,-2.64,(-0.87%)
JPM,JPMorgan Chase & Co.,3.73%,-1.87,(-0.65%)
UNH,UnitedHealth Group Incorporated,3.71%,2.88,(1.02%)
AAPL,Apple Inc.,3.38%,-0.4,(-0.15%)
IBM,International Business Machines Corporation,3.22%,-2.15,(-0.86%)
JNJ,Johnson & Johnson,3.16%,-0.72,(-0.29%)
HON,Honeywell International Inc.,3.11%,-1.15,(-0.48%)
BA,The Boeing Company,2.78%,-3.71,(-1.70%)
AMZN,"Amazon.com, Inc.amazon.com",2.76%,-1.88,(-0.88%)
CRM,"Salesforce, Inc.",2.51%,-1.82,(-0.93%)
CVX,Chevron Corporation,2.49%,5.26,(2.82%)
NVDA,Nvidia,2.41%,0.98,(0.53%)
MMM,3M Company,2.02%,-0.09,(-0.05%)
PG,The Procter & Gamble Company,1.99%,-2.88,(-1.85%)
WMT,Walmart Inc.,1.60%,-1.66,(-1.33%)
MRK,"Merck & Co., Inc.",1.51%,-0.87,(-0.74%)
DIS,The Walt Disney Company,1.31%,-0.32,(-0.32%)
CSCO,"Cisco Systems, Inc.",1.01%,0.31,(0.41%)
KO,The Coca-Cola Company,1.01%,-0.29,(-0.38%)
NKE,"Nike, Inc.",0.72%,-0.44,(-0.78%)
VZ,Verizon Communications Inc.,0.66%,-0.09,(-0.17%)
