Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,7.37%,2.04,(1.09%)
AAPL,Apple Inc.,6.19%,3.63,(1.39%)
MSFT,Microsoft,4.72%,-0.24,(-0.06%)
AMZN,Amazon,3.60%,5.41,(2.64%)
GOOGL,Alphabet Inc. (Class A),3.14%,12.02,(3.97%)
GOOG,Alphabet Inc. (Class C),2.94%,11.48,(3.78%)
META,Meta Platforms,2.65%,12.38,(1.92%)
AVGO,Broadcom,2.53%,-0.08,(-0.03%)
TSLA,"Tesla, Inc.",2.47%,1.19,(0.29%)
BRK.B,Berkshire Hathaway,1.71%,-0.79,(-0.16%)
WMT,Walmart,1.55%,-2.7,(-2.16%)
LLY,Lilly (Eli),1.53%,-8.99,(-0.88%)
JPM,JPMorgan Chase,1.34%,2.57,(0.83%)
V,Visa Inc.,0.99%,2.29,(0.72%)
XOM,ExxonMobil,0.98%,-3.54,(-2.35%)
JNJ,Johnson & Johnson,0.94%,-3.69,(-1.50%)
MU,Micron Technology,0.77%,9.32,(2.23%)
MA,Mastercard,0.75%,4.16,(0.80%)
COST,Costco,0.70%,-4.35,(-0.44%)
ORCL,Oracle Corporation,0.68%,-7.64,(-4.88%)
ABBV,AbbVie,0.64%,1.01,(0.45%)
BAC,Bank of America,0.61%,0.2,(0.39%)
HD,Home Depot (The),0.61%,2.7,(0.71%)
PG,Procter & Gamble,0.60%,2.15,(1.36%)
CVX,Chevron Corporation,0.58%,-1.34,(-0.73%)
GE,GE Aerospace,0.57%,7.42,(2.22%)
CAT,Caterpillar Inc.,0.57%,1.99,(0.26%)
KO,Coca-Cola Company (The),0.55%,0.67,(0.84%)
NFLX,Netflix,0.53%,1.35,(1.75%)
AMD,Advanced Micro Devices,0.52%,-2.32,(-1.14%)
PLTR,Palantir Technologies,0.52%,0.87,(0.64%)
CSCO,Cisco,0.50%,0.26,(0.33%)
LRCX,Lam Research,0.49%,6.45,(2.72%)
MRK,Merck & Co.,0.48%,-0.02,(-0.01%)
AMAT,Applied Materials,0.47%,4.91,(1.33%)
PM,Philip Morris International,0.46%,0.02,(0.01%)
MS,Morgan Stanley,0.44%,0.7,(0.40%)
GS,Goldman Sachs,0.44%,3.98,(0.43%)
RTX,RTX Corporation,0.44%,-0.77,(-0.38%)
WFC,Wells Fargo,0.44%,0.84,(0.96%)
UNH,UnitedHealth Group,0.42%,0.06,(0.02%)
IBM,IBM,0.39%,1.75,(0.68%)
AXP,American Express,0.38%,1.76,(0.51%)
TMUS,T-Mobile US,0.38%,-1.27,(-0.59%)
MCD,McDonald's,0.37%,0.8,(0.24%)
LIN,Linde plc,0.37%,6.12,(1.25%)
