Symbol,Name,Weight,Price,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.25%,877.8,5.46,(0.63%)
CAT,Caterpillar Inc.,7.27%,567.15,5.26,(0.94%)
MSFT,Microsoft Corporation,6.21%,484.77,8.65,(1.82%)
AXP,American Express Company,4.83%,376.81,1.2,(0.32%)
HD,"The Home Depot, Inc.",4.57%,356.5,-0.25,(-0.07%)
V,Visa Inc.,4.44%,346.86,2.45,(0.71%)
UNH,UnitedHealth Group Incorporated,4.19%,327.4,-4.23,(-1.28%)
SHW,Sherwin-Williams,4.19%,327.25,-0.7,(-0.21%)
AMGN,Amgen Inc.,4.15%,323.85,-2.16,(-0.66%)
MCD,McDonald's Corporation,4.11%,320.94,2.25,(0.71%)
JPM,JPMorgan Chase & Co.,4.01%,313.25,-1.73,(-0.55%)
IBM,International Business Machines Corporation,3.86%,301.08,-2.24,(-0.74%)
TRV,"The Travelers Companies, Inc.",3.77%,294.28,3.0,(1.03%)
AAPL,Apple Inc.,3.49%,272.13,0.29,(0.11%)
CRM,"Salesforce, Inc.",3.30%,257.83,-0.31,(-0.12%)
AMZN,"Amazon.com, Inc.amazon.com",2.91%,226.75,5.48,(2.48%)
JNJ,Johnson & Johnson,2.68%,208.93,-1.4,(-0.66%)
BA,The Boeing Company,2.68%,208.87,2.54,(1.23%)
HON,Honeywell International Inc.,2.55%,198.8,-1.09,(-0.55%)
NVDA,Nvidia,2.24%,174.61,3.67,(2.15%)
MMM,3M Company,2.08%,162.31,0.14,(0.08%)
CVX,Chevron Corporation,1.89%,147.83,-1.69,(-1.13%)
PG,The Procter & Gamble Company,1.87%,146.19,-1.62,(-1.09%)
WMT,Walmart Inc.,1.47%,114.8,-0.86,(-0.74%)
DIS,The Walt Disney Company,1.43%,111.97,1.34,(1.21%)
MRK,"Merck & Co., Inc.",1.30%,101.26,2.08,(2.10%)
CSCO,"Cisco Systems, Inc.",0.99%,77.23,1.23,(1.62%)
KO,The Coca-Cola Company,0.91%,70.69,0.02,(0.03%)
NKE,"Nike, Inc.",0.85%,66.1,0.41,(0.63%)
VZ,Verizon Communications Inc.,0.52%,40.55,-0.34,(-0.82%)
