Symbol,Name,Weight,Price,Chg,% Chg
NVDA,Nvidia,12.85%,174.82,3.88,(2.27%)
AAPL,Apple Inc.,12.16%,272.16,0.32,(0.12%)
MSFT,Microsoft,10.94%,486.54,10.42,(2.19%)
AMZN,Amazon,7.33%,226.63,5.36,(2.42%)
GOOGL,Alphabet Inc. (Class A),5.73%,302.9,6.17,(2.08%)
GOOG,Alphabet Inc. (Class C),5.35%,304.25,6.19,(2.08%)
META,Meta Platforms,5.08%,665.86,16.36,(2.52%)
TSLA,"Tesla, Inc.",4.92%,488.93,21.67,(4.64%)
AVGO,Broadcom Inc.,4.70%,328.91,2.89,(0.89%)
PLTR,Palantir Technologies,1.35%,186.83,9.54,(5.38%)
ASML,ASML Holding,1.22%,1041.96,26.53,(2.61%)
NFLX,Netflix,1.21%,94.2,-0.59,(-0.63%)
COST,Costco,1.15%,859.12,-3.53,(-0.41%)
AMD,Advanced Micro Devices Inc.,1.00%,202.43,4.31,(2.18%)
CSCO,Cisco,0.92%,77.32,1.32,(1.74%)
MU,Micron Technology,0.86%,253.18,27.66,(12.26%)
AZN,AstraZeneca,0.85%,90.71,0.85,(0.95%)
APP,Applovin Corp,0.72%,700.13,43.0,(6.54%)
TMUS,T-Mobile US,0.68%,200.92,1.54,(0.77%)
SHOP,Shopify,0.66%,166.56,4.83,(2.99%)
LRCX,Lam Research,0.62%,164.04,9.06,(5.85%)
PEP,PepsiCo,0.62%,149.43,-0.65,(-0.43%)
AMAT,Applied Materials,0.61%,254.32,6.05,(2.44%)
ISRG,Intuitive Surgical,0.60%,562.96,6.1,(1.09%)
LIN,Linde plc,0.59%,420.93,-1.41,(-0.34%)
QCOM,Qualcomm,0.57%,174.98,2.64,(1.53%)
INTU,Intuit,0.57%,672.06,11.28,(1.71%)
AMGN,Amgen,0.53%,325.31,-0.7,(-0.21%)
INTC,Intel,0.52%,36.31,0.26,(0.71%)
BKNG,Booking Holdings,0.52%,5368.23,27.25,(0.51%)
TXN,Texas Instruments,0.49%,177.35,2.86,(1.64%)
KLAC,KLA Corporation,0.49%,1221.0,48.98,(4.18%)
PDD,PDD Holdings,0.46%,106.34,1.34,(1.28%)
GILD,Gilead Sciences,0.46%,121.42,0.06,(0.05%)
ADBE,Adobe Inc.,0.45%,354.14,-0.52,(-0.15%)
ADI,Analog Devices,0.41%,275.15,4.11,(1.52%)
PANW,Palo Alto Networks,0.39%,185.26,1.82,(0.99%)
HON,Honeywell,0.38%,197.8,-2.09,(-1.05%)
ARM,Arm Holdings,0.37%,114.68,0.1,(0.09%)
CRWD,CrowdStrike,0.37%,479.54,9.52,(2.03%)
VRTX,Vertex Pharmaceuticals,0.34%,447.3,-2.22,(-0.49%)
CEG,Constellation Energy,0.34%,361.38,20.41,(5.99%)
CMCSA,Comcast,0.33%,30.19,-0.14,(-0.45%)
ADP,ADP,0.32%,261.8,-3.67,(-1.38%)
SBUX,Starbucks,0.31%,89.97,4.76,(5.59%)
DASH,DoorDash,0.30%,232.2,10.9,(4.93%)
MELI,MercadoLibre,0.30%,1972.05,55.77,(2.91%)
SNPS,Synopsys,0.26%,459.45,6.38,(1.41%)
CDNS,Cadence Design Systems,0.26%,317.17,4.15,(1.32%)
MAR,Marriott International,0.25%,305.75,-4.32,(-1.39%)
ABNB,Airbnb,0.24%,133.37,-0.41,(-0.31%)
REGN,Regeneron Pharmaceuticals,0.24%,747.02,-2.77,(-0.37%)
ORLY,O'Reilly Automotive,0.23%,91.95,-0.9,(-0.97%)
CTAS,Cintas,0.23%,189.61,2.24,(1.20%)
MNST,Monster Beverage,0.22%,75.3,0.97,(1.30%)
MRVL,Marvell Technology,0.22%,84.27,2.57,(3.15%)
MDLZ,Mondelez International,0.21%,54.25,0.42,(0.79%)
