Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.79%,2.01,(0.21%)
CAT,Caterpillar Inc.,8.19%,9.22,(1.43%)
MSFT,Microsoft Corporation,5.63%,-33.38,(-6.93%)
HD,"The Home Depot, Inc.",4.72%,0.75,(0.20%)
AXP,American Express Company,4.50%,1.56,(0.44%)
SHW,Sherwin-Williams,4.33%,-4.73,(-1.35%)
AMGN,Amgen Inc.,4.30%,0.59,(0.17%)
V,Visa Inc.,4.15%,3.47,(1.06%)
IBM,International Business Machines Corporation,4.00%,24.75,(8.41%)
MCD,McDonald's Corporation,3.93%,0.56,(0.18%)
JPM,JPMorgan Chase & Co.,3.79%,0.85,(0.28%)
UNH,UnitedHealth Group Incorporated,3.71%,1.38,(0.47%)
TRV,"The Travelers Companies, Inc.",3.54%,0.07,(0.02%)
AAPL,Apple Inc.,3.24%,1.23,(0.48%)
BA,The Boeing Company,3.04%,0.56,(0.23%)
AMZN,"Amazon.com, Inc.amazon.com",3.03%,-1.38,(-0.57%)
JNJ,Johnson & Johnson,2.87%,0.9,(0.40%)
CRM,"Salesforce, Inc.",2.74%,-9.99,(-4.38%)
HON,Honeywell International Inc.,2.73%,0.52,(0.24%)
NVDA,Nvidia,2.40%,-0.03,(-0.02%)
CVX,Chevron Corporation,2.17%,2.84,(1.67%)
MMM,3M Company,1.97%,0.63,(0.41%)
PG,The Procter & Gamble Company,1.85%,0.07,(0.05%)
WMT,Walmart Inc.,1.46%,-0.13,(-0.11%)
DIS,The Walt Disney Company,1.38%,0.08,(0.07%)
MRK,"Merck & Co., Inc.",1.35%,0.45,(0.42%)
CSCO,"Cisco Systems, Inc.",0.99%,-0.36,(-0.46%)
KO,The Coca-Cola Company,0.92%,0.12,(0.16%)
NKE,"Nike, Inc.",0.78%,0.03,(0.05%)
VZ,Verizon Communications Inc.,0.50%,0.12,(0.29%)
