Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,13.62%,-5.19,(-2.71%)
AAPL,Apple Inc.,11.27%,-1.48,(-0.58%)
MSFT,Microsoft,9.49%,-57.11,(-11.86%)
AMZN,Amazon,7.62%,-5.97,(-2.46%)
GOOGL,Alphabet Inc. (Class A),6.16%,-8.62,(-2.56%)
GOOG,Alphabet Inc. (Class C),5.73%,-8.71,(-2.59%)
META,Meta Platforms,5.44%,48.41,(7.24%)
AVGO,Broadcom Inc.,4.60%,-10.98,(-3.29%)
TSLA,"Tesla, Inc.",4.16%,-15.65,(-3.63%)
ASML,ASML Holding,1.65%,-11.82,(-0.83%)
MU,Micron Technology,1.43%,-14.35,(-3.30%)
COST,Costco,1.28%,-3.65,(-0.38%)
AMD,Advanced Micro Devices Inc.,1.19%,-10.16,(-4.02%)
PLTR,Palantir Technologies,1.06%,-9.94,(-6.32%)
NFLX,Netflix,1.05%,-2.03,(-2.40%)
CSCO,Cisco,0.92%,-1.23,(-1.55%)
LRCX,Lam Research,0.90%,-1.22,(-0.51%)
AZN,AstraZeneca,0.87%,-0.37,(-0.40%)
AMAT,Applied Materials,0.79%,-5.15,(-1.53%)
INTC,Intel,0.71%,-1.64,(-3.37%)
KLAC,KLA Corporation,0.64%,-10.3,(-0.63%)
TMUS,T-Mobile US,0.64%,3.19,(1.71%)
LIN,Linde plc,0.63%,-2.58,(-0.57%)
PEP,PepsiCo,0.62%,1.83,(1.23%)
TXN,Texas Instruments,0.59%,-0.46,(-0.21%)
APP,Applovin Corp,0.56%,8.43,(1.55%)
AMGN,Amgen,0.56%,2.66,(0.78%)
ISRG,Intuitive Surgical,0.54%,-14.61,(-2.80%)
SHOP,Shopify,0.54%,-1.11,(-0.80%)
GILD,Gilead Sciences,0.52%,-0.12,(-0.08%)
BKNG,Booking Holdings,0.49%,15.38,(0.30%)
QCOM,Qualcomm,0.48%,-2.77,(-1.81%)
ADI,Analog Devices,0.46%,-8.05,(-2.53%)
PDD,PDD Holdings,0.43%,-1.0,(-0.97%)
HON,Honeywell,0.43%,8.24,(3.80%)
INTU,Intuit,0.41%,-44.83,(-8.32%)
VRTX,Vertex Pharmaceuticals,0.37%,2.57,(0.54%)
PANW,Palo Alto Networks,0.36%,-12.09,(-6.58%)
ADBE,Adobe Inc.,0.36%,-11.2,(-3.74%)
MELI,MercadoLibre,0.34%,-37.41,(-1.65%)
ARM,Arm Holdings,0.33%,-5.44,(-4.95%)
CMCSA,Comcast,0.33%,1.57,(5.54%)
CRWD,CrowdStrike,0.33%,-37.2,(-7.93%)
SBUX,Starbucks,0.32%,-1.17,(-1.23%)
CEG,Constellation Energy,0.31%,-2.48,(-0.86%)
ADP,ADP,0.30%,-1.05,(-0.42%)
SNPS,Synopsys,0.28%,-32.33,(-6.32%)
DASH,DoorDash,0.27%,0.48,(0.23%)
ORLY,O'Reilly Automotive,0.26%,-0.72,(-0.71%)
MAR,Marriott International,0.25%,2.35,(0.75%)
CDNS,Cadence Design Systems,0.24%,-24.29,(-7.58%)
ABNB,Airbnb,0.24%,-0.69,(-0.52%)
MNST,Monster Beverage,0.24%,-0.26,(-0.32%)
REGN,Regeneron Pharmaceuticals,0.24%,-1.65,(-0.22%)
CTAS,Cintas,0.23%,0.83,(0.44%)
MDLZ,Mondelez International,0.23%,0.42,(0.73%)
CSX,CSX Corporation,0.21%,0.1,(0.26%)
WBD,Warner Bros. Discovery,0.21%,-0.21,(-0.75%)
MRVL,Marvell Technology,0.20%,-4.84,(-5.79%)
PCAR,Paccar,0.19%,-0.5,(-0.40%)
AEP,American Electric Power,0.19%,0.94,(0.79%)
ROST,Ross Stores,0.18%,-0.27,(-0.14%)
FTNT,Fortinet,0.18%,-2.07,(-2.52%)
NXPI,NXP Semiconductors,0.17%,-12.65,(-5.27%)
BKR,Baker Hughes,0.17%,0.17,(0.30%)
IDXX,Idexx Laboratories,0.16%,-9.15,(-1.33%)
ADSK,Autodesk,0.16%,-14.3,(-5.33%)
TRI,Thomson Reuters Corporation,0.15%,-2.07,(-1.77%)
EA,Electronic Arts,0.15%,-0.24,(-0.12%)
FAST,Fastenal,0.15%,-0.08,(-0.18%)
PYPL,PayPal,0.15%,-1.19,(-2.19%)
FANG,Diamondback Energy,0.14%,4.58,(2.86%)
XEL,Xcel Energy,0.14%,0.65,(0.85%)
EXC,Exelon,0.14%,0.2,(0.44%)
DDOG,Datadog,0.14%,-11.37,(-8.09%)
WDAY,"Workday, Inc.",0.14%,-17.94,(-9.48%)
TTWO,Take-Two Interactive,0.13%,-6.99,(-2.88%)
MCHP,Microchip Technology,0.12%,-3.83,(-4.77%)
MSTR,MicroStrategy Inc.,0.12%,-15.86,(-10.01%)
AXON,Axon Enterprise Inc.,0.12%,-33.05,(-6.01%)
CCEP,Coca-Cola Europacific Partners,0.12%,0.47,(0.52%)
CTSH,Cognizant,0.12%,-0.69,(-0.82%)
CPRT,Copart,0.12%,-0.51,(-1.25%)
ROP,Roper Technologies,0.11%,-2.81,(-0.78%)
PAYX,Paychex,0.11%,0.94,(0.92%)
KDP,Keurig Dr Pepper,0.11%,0.25,(0.93%)
ODFL,Old Dominion Freight Line,0.11%,1.11,(0.64%)
GEHC,GE HealthCare,0.11%,-1.18,(-1.48%)
ZS,Zscaler,0.10%,-14.54,(-6.79%)
TEAM,Atlassian,0.10%,-14.58,(-10.82%)
VRSK,Verisk,0.09%,-1.85,(-0.84%)
DXCM,DexCom,0.09%,-0.86,(-1.17%)
KHC,Kraft Heinz,0.08%,0.07,(0.31%)
CSGP,CoStar Group,0.08%,-2.08,(-3.18%)
