Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,13.17%,2.63,(1.53%)
AAPL,Apple Inc.,11.39%,3.09,(1.25%)
MSFT,Microsoft,8.78%,0.68,(0.18%)
AMZN,Amazon,6.99%,5.28,(2.57%)
GOOGL,Alphabet Inc. (Class A),5.84%,0.88,(0.29%)
GOOG,Alphabet Inc. (Class C),5.39%,-0.06,(-0.02%)
META,Meta Platforms,4.71%,8.59,(1.45%)
AVGO,Broadcom Inc.,4.69%,9.8,(3.15%)
TSLA,"Tesla, Inc.",4.39%,10.21,(2.77%)
WMT,Walmart,2.97%,1.58,(1.33%)
ASML,ASML Holding,1.63%,50.58,(3.84%)
MU,Micron Technology,1.41%,-18.34,(-4.34%)
COST,Costco,1.33%,-5.42,(-0.56%)
NFLX,Netflix,1.22%,1.36,(1.48%)
PLTR,Palantir Technologies,1.17%,6.91,(4.59%)
AMD,Advanced Micro Devices Inc.,1.03%,2.33,(1.16%)
CSCO,Cisco,0.96%,1.08,(1.40%)
LRCX,Lam Research,0.90%,5.3,(2.32%)
AMAT,Applied Materials,0.89%,7.56,(2.12%)
TMUS,T-Mobile US,0.71%,-0.16,(-0.07%)
LIN,Linde plc,0.68%,-10.26,(-2.10%)
INTC,Intel,0.68%,0.1,(0.22%)
PEP,PepsiCo,0.63%,0.25,(0.17%)
KLAC,KLA Corporation,0.62%,21.3,(1.42%)
AMGN,Amgen,0.58%,2.71,(0.78%)
TXN,Texas Instruments,0.54%,2.96,(1.58%)
ISRG,Intuitive Surgical,0.53%,1.98,(0.41%)
GILD,Gilead Sciences,0.53%,-0.36,(-0.26%)
SHOP,Shopify,0.48%,2.95,(2.53%)
APP,Applovin Corp,0.47%,12.93,(2.92%)
ADI,Analog Devices,0.47%,3.74,(1.21%)
ARM,Arm Holdings,0.44%,3.04,(2.30%)
HON,Honeywell,0.44%,3.1,(1.40%)
BKNG,Booking Holdings,0.43%,91.08,(2.11%)
QCOM,Qualcomm,0.42%,-2.13,(-1.64%)
PDD,PDD Holdings,0.42%,-0.73,(-0.76%)
PANW,Palo Alto Networks,0.41%,0.56,(0.34%)
INTU,Intuit,0.39%,0.55,(0.12%)
VRTX,Vertex Pharmaceuticals,0.36%,-0.78,(-0.17%)
SBUX,Starbucks,0.33%,1.7,(1.84%)
CRWD,CrowdStrike,0.32%,4.63,(1.13%)
CEG,Constellation Energy,0.32%,7.6,(2.70%)
CMCSA,Comcast,0.32%,-0.1,(-0.35%)
ADBE,Adobe Inc.,0.31%,-1.33,(-0.54%)
WDC,Western Digital,0.30%,-4.77,(-1.63%)
STX,Seagate Technology Holdings,0.28%,-12.28,(-2.99%)
MAR,Marriott International,0.27%,9.42,(2.94%)
ADP,ADP,0.26%,1.16,(0.55%)
MELI,MercadoLibre,0.26%,27.95,(1.71%)
SNPS,Synopsys,0.26%,14.89,(3.54%)
CDNS,Cadence Design Systems,0.25%,11.23,(3.95%)
ABNB,Airbnb,0.25%,3.83,(2.98%)
MRVL,Marvell Technology,0.24%,1.38,(1.57%)
REGN,Regeneron Pharmaceuticals,0.24%,4.36,(0.60%)
ORLY,O'Reilly Automotive,0.23%,1.61,(1.85%)
MDLZ,Mondelez International,0.23%,0.63,(1.12%)
CSX,CSX Corporation,0.22%,0.89,(2.33%)
CTAS,Cintas,0.22%,2.01,(1.12%)
MNST,Monster Beverage,0.22%,0.44,(0.60%)
DASH,DoorDash,0.22%,3.63,(2.31%)
AEP,American Electric Power,0.21%,2.63,(2.09%)
ROST,Ross Stores,0.21%,2.32,(1.10%)
WBD,Warner Bros. Discovery,0.21%,0.05,(0.20%)
BKR,Baker Hughes,0.19%,2.24,(3.71%)
FTNT,Fortinet,0.19%,0.77,(0.94%)
PCAR,Paccar,0.19%,2.55,(2.30%)
FANG,Diamondback Energy,0.17%,0.86,(0.45%)
MPWR,Monolithic Power Systems,0.16%,12.21,(1.14%)
ADSK,Autodesk,0.16%,-0.49,(-0.20%)
FAST,Fastenal,0.16%,1.04,(2.37%)
EA,Electronic Arts,0.16%,0.46,(0.23%)
NXPI,NXP Semiconductors,0.15%,3.46,(1.81%)
XEL,Xcel Energy,0.15%,0.55,(0.71%)
EXC,Exelon,0.15%,0.65,(1.39%)
IDXX,Idexx Laboratories,0.14%,3.49,(0.60%)
MSTR,MicroStrategy Inc.,0.14%,-0.8,(-0.59%)
FER,Ferrovial SE,0.14%,1.52,(2.47%)
DDOG,Datadog,0.14%,2.84,(2.27%)
PYPL,PayPal,0.13%,1.32,(3.01%)
CCEP,Coca-Cola Europacific Partners,0.13%,1.37,(1.49%)
ALNY,Alnylam Pharmaceuticals,0.13%,-6.5,(-2.08%)
TRI,Thomson Reuters Corporation,0.12%,-2.7,(-2.89%)
AXON,Axon Enterprise Inc.,0.12%,4.27,(0.86%)
ODFL,Old Dominion Freight Line,0.12%,6.21,(3.38%)
TTWO,Take-Two Interactive,0.11%,-1.0,(-0.50%)
ROP,Roper Technologies,0.11%,1.71,(0.48%)
KDP,Keurig Dr Pepper,0.11%,-0.16,(-0.62%)
MCHP,Microchip Technology,0.11%,1.88,(2.99%)
WDAY,"Workday, Inc.",0.11%,0.13,(0.09%)
PAYX,Paychex,0.10%,1.03,(1.11%)
GEHC,GE HealthCare,0.10%,1.92,(2.76%)
CPRT,Copart,0.10%,0.61,(1.84%)
INSM,Insmed Incorporated,0.10%,6.64,(4.88%)
CTSH,Cognizant,0.09%,0.08,(0.12%)
VRSK,Verisk,0.09%,-1.53,(-0.76%)
CHTR,Charter Communications,0.08%,1.08,(0.51%)
DXCM,DexCom,0.08%,-0.28,(-0.42%)
KHC,Kraft Heinz,0.08%,-0.38,(-1.74%)
ZS,Zscaler,0.08%,-0.25,(-0.17%)
TEAM,Atlassian,0.06%,-0.33,(-0.44%)
CSGP,CoStar Group,0.06%,-0.3,(-0.69%)
