Symbol,Name,Weight,Price,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.87%,946.82,32.48,(3.55%)
CAT,Caterpillar Inc.,7.78%,620.67,22.26,(3.72%)
MSFT,Microsoft Corporation,5.96%,475.05,2.11,(0.45%)
AXP,American Express Company,4.77%,380.7,7.97,(2.14%)
V,Visa Inc.,4.46%,356.0,9.52,(2.75%)
HD,"The Home Depot, Inc.",4.34%,345.99,0.17,(0.05%)
UNH,UnitedHealth Group Incorporated,4.28%,341.12,4.72,(1.40%)
JPM,JPMorgan Chase & Co.,4.21%,335.88,10.39,(3.19%)
SHW,Sherwin-Williams,4.15%,331.1,3.26,(0.99%)
AMGN,Amgen Inc.,4.00%,319.12,-8.52,(-2.60%)
MCD,McDonald's Corporation,3.78%,301.33,-1.93,(-0.64%)
IBM,International Business Machines Corporation,3.73%,297.55,6.05,(2.07%)
TRV,"The Travelers Companies, Inc.",3.64%,290.38,5.19,(1.82%)
AAPL,Apple Inc.,3.37%,268.38,-2.63,(-0.97%)
CRM,"Salesforce, Inc.",3.24%,258.14,4.52,(1.78%)
AMZN,"Amazon.com, Inc.amazon.com",2.92%,232.46,5.96,(2.63%)
BA,The Boeing Company,2.87%,228.93,1.16,(0.51%)
JNJ,Johnson & Johnson,2.53%,202.12,-5.23,(-2.52%)
HON,Honeywell International Inc.,2.52%,200.74,4.86,(2.48%)
NVDA,Nvidia,2.38%,190.06,1.21,(0.64%)
CVX,Chevron Corporation,2.06%,164.13,8.23,(5.28%)
MMM,3M Company,2.05%,163.62,1.8,(1.11%)
PG,The Procter & Gamble Company,1.76%,140.55,-1.24,(-0.88%)
DIS,The Walt Disney Company,1.44%,114.54,2.69,(2.41%)
WMT,Walmart Inc.,1.42%,113.34,0.57,(0.51%)
MRK,"Merck & Co., Inc.",1.34%,106.57,0.12,(0.11%)
CSCO,"Cisco Systems, Inc.",0.95%,75.59,-0.45,(-0.59%)
KO,The Coca-Cola Company,0.86%,68.27,-0.85,(-1.23%)
NKE,"Nike, Inc.",0.82%,65.08,1.8,(2.84%)
VZ,Verizon Communications Inc.,0.50%,40.11,-0.42,(-1.02%)
