Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.63%,5.13,(0.54%)
CAT,Caterpillar Inc.,9.13%,2.48,(0.33%)
MSFT,Microsoft Corporation,5.07%,-0.11,(-0.03%)
HD,"The Home Depot, Inc.",4.77%,8.5,(2.23%)
SHW,Sherwin-Williams,4.47%,4.4,(1.22%)
AMGN,Amgen Inc.,4.47%,-10.86,(-2.89%)
AXP,American Express Company,4.45%,3.84,(1.07%)
V,Visa Inc.,4.02%,2.72,(0.84%)
MCD,McDonald's Corporation,4.00%,0.63,(0.19%)
JPM,JPMorgan Chase & Co.,3.90%,-3.95,(-1.23%)
TRV,"The Travelers Companies, Inc.",3.68%,7.19,(2.45%)
IBM,International Business Machines Corporation,3.58%,-4.36,(-1.47%)
AAPL,Apple Inc.,3.36%,-0.37,(-0.13%)
UNH,UnitedHealth Group Incorporated,3.34%,-2.8,(-1.02%)
HON,Honeywell International Inc.,2.99%,3.85,(1.61%)
BA,The Boeing Company,2.97%,-2.04,(-0.83%)
JNJ,Johnson & Johnson,2.92%,-0.26,(-0.11%)
AMZN,"Amazon.com, Inc.amazon.com",2.54%,-1.4,(-0.67%)
CRM,"Salesforce, Inc.",2.38%,0.5,(0.26%)
NVDA,Nvidia,2.31%,-1.43,(-0.75%)
CVX,Chevron Corporation,2.24%,-0.11,(-0.06%)
MMM,3M Company,2.12%,2.63,(1.55%)
PG,The Procter & Gamble Company,1.96%,2.2,(1.40%)
WMT,Walmart Inc.,1.55%,-2.23,(-1.72%)
MRK,"Merck & Co., Inc.",1.44%,-0.27,(-0.23%)
DIS,The Walt Disney Company,1.35%,2.77,(2.59%)
CSCO,"Cisco Systems, Inc.",1.06%,-0.29,(-0.33%)
KO,The Coca-Cola Company,0.94%,-1.11,(-1.43%)
NKE,"Nike, Inc.",0.77%,0.68,(1.09%)
VZ,Verizon Communications Inc.,0.58%,0.36,(0.77%)
