Symbol,Name,Weight,Price,Chg,% Chg
HOOD,"Robinhood Markets, Inc.",0.19%,132.92,-2.74,(-2.02%)
COP,ConocoPhillips,0.19%,96.06,-0.74,(-0.76%)
CB,Chubb Limited,0.19%,297.71,1.16,(0.39%)
VRTX,Vertex Pharmaceuticals,0.18%,444.66,0.02,(0.00%)
PH,Parker Hannifin,0.18%,891.61,2.36,(0.26%)
CEG,Constellation Energy,0.18%,358.01,-4.06,(-1.12%)
LMT,Lockheed Martin,0.18%,468.9,0.96,(0.21%)
HCA,HCA Healthcare,0.17%,466.71,-2.02,(-0.43%)
BMY,Bristol Myers Squibb,0.17%,51.63,0.42,(0.82%)
ADP,Automatic Data Processing,0.17%,259.3,-0.04,(-0.02%)
NEM,Newmont,0.17%,94.4,-0.01,(-0.01%)
MCK,McKesson Corporation,0.16%,814.75,1.64,(0.20%)
CVS,CVS Health,0.16%,79.18,0.21,(0.27%)
CMCSA,Comcast,0.16%,27.54,-0.04,(-0.16%)
MO,Altria,0.16%,58.88,0.19,(0.32%)
NKE,"Nike, Inc.",0.16%,65.71,-0.09,(-0.13%)
CME,CME Group,0.16%,267.68,1.35,(0.51%)
SBUX,Starbucks,0.15%,83.73,-0.13,(-0.15%)
DASH,DoorDash,0.15%,220.08,-0.22,(-0.10%)
DELL,Dell Technologies,0.15%,139.33,-1.31,(-0.93%)
SO,Southern Company,0.15%,84.68,0.6,(0.71%)
GD,General Dynamics,0.15%,341.5,-0.73,(-0.21%)
CDNS,Cadence Design Systems,0.15%,337.53,-0.54,(-0.16%)
ICE,Intercontinental Exchange,0.15%,160.92,0.54,(0.34%)
SNPS,Synopsys,0.15%,477.68,1.85,(0.39%)
DUK,Duke Energy,0.14%,114.33,0.33,(0.29%)
MMC,Marsh McLennan,0.14%,181.3,0.37,(0.20%)
TT,Trane Technologies,0.14%,396.46,-2.68,(-0.67%)
MMM,3M,0.14%,165.49,-0.17,(-0.11%)
APO,Apollo Global Management,0.14%,148.65,-0.43,(-0.29%)
MCO,Moody's Corporation,0.14%,479.9,-0.1,(-0.02%)
UPS,United Parcel Service,0.14%,99.74,0.1,(0.10%)
WM,Waste Management,0.14%,209.8,0.65,(0.31%)
AMT,American Tower,0.14%,180.29,0.03,(0.01%)
BK,BNY Mellon,0.13%,118.57,0.19,(0.16%)
USB,U.S. Bancorp,0.13%,53.12,-0.44,(-0.82%)
PNC,PNC Financial Services,0.13%,207.43,0.46,(0.22%)
SHW,Sherwin-Williams,0.13%,327.06,0.79,(0.24%)
GLW,Corning Inc.,0.13%,93.47,-0.73,(-0.78%)
NOC,Northrop Grumman,0.13%,555.87,0.51,(0.09%)
ORLY,O'Reilly Auto Parts,0.13%,93.63,-0.0,(-0.01%)
HWM,Howmet Aerospace,0.13%,194.67,2.28,(1.19%)
ABNB,Airbnb,0.12%,127.43,-0.14,(-0.11%)
MAR,Marriott International,0.12%,286.9,-0.06,(-0.02%)
REGN,Regeneron Pharmaceuticals,0.12%,725.26,-0.96,(-0.13%)
EMR,Emerson Electric,0.12%,135.5,-1.51,(-1.11%)
ELV,Elevance Health,0.12%,341.5,0.45,(0.13%)
GM,General Motors,0.12%,80.57,-0.23,(-0.28%)
CTAS,Cintas,0.12%,185.0,-0.54,(-0.29%)
WMB,Williams Companies,0.12%,60.5,-0.01,(-0.01%)
ITW,Illinois Tool Works,0.12%,252.87,-0.66,(-0.26%)
WBD,Warner Bros. Discovery,0.12%,29.51,-0.03,(-0.08%)
AON,Aon,0.12%,340.07,0.01,(0.00%)
TDG,TransDigm Group,0.12%,1289.56,-13.34,(-1.02%)
ECL,Ecolab,0.12%,256.04,-1.41,(-0.55%)
COIN,Coinbase Global,0.12%,268.88,-6.21,(-2.26%)
EQIX,Equinix,0.12%,737.4,3.0,(0.41%)
MNST,Monster Beverage,0.12%,73.86,0.0,(0.00%)
CMI,Cummins,0.12%,521.33,-3.2,(-0.61%)
RCL,Royal Caribbean Group,0.12%,263.78,3.39,(1.30%)
TEL,TE Connectivity,0.12%,243.02,-1.11,(-0.45%)
JCI,Johnson Controls,0.12%,116.5,0.69,(0.60%)
CI,Cigna,0.11%,263.97,1.37,(0.52%)
MDLZ,Mondelez International,0.11%,53.99,0.1,(0.19%)
CSX,CSX Corporation,0.11%,37.1,0.01,(0.03%)
PWR,Quanta Services,0.11%,457.19,-5.02,(-1.09%)
FDX,FedEx,0.11%,284.21,-0.11,(-0.04%)
FCX,Freeport-McMoRan,0.11%,46.18,-0.27,(-0.58%)
COR,Cencora,0.11%,339.16,-1.63,(-0.48%)
NSC,Norfolk Southern Railway,0.11%,292.03,-2.23,(-0.76%)
STX,Seagate Technology,0.10%,295.44,-3.48,(-1.16%)
RSG,Republic Services,0.10%,207.69,0.13,(0.06%)
ADSK,Autodesk,0.10%,299.7,-0.41,(-0.13%)
HLT,Hilton Worldwide,0.10%,270.67,-0.56,(-0.21%)
TFC,Truist Financial,0.10%,49.1,-0.47,(-0.94%)
TRV,Travelers Companies (The),0.10%,280.71,2.36,(0.85%)
CL,Colgate-Palmolive,0.10%,77.45,-0.31,(-0.40%)
MSI,Motorola Solutions,0.10%,373.02,2.29,(0.62%)
AJG,Arthur J. Gallagher & Co.,0.10%,241.5,1.05,(0.44%)
WDC,Western Digital,0.10%,178.98,-2.97,(-1.64%)
AEP,American Electric Power,0.10%,114.43,0.27,(0.24%)
FTNT,Fortinet,0.10%,81.41,-0.19,(-0.23%)
EOG,EOG Resources,0.10%,110.75,-0.68,(-0.61%)
PCAR,Paccar,0.10%,113.51,0.03,(0.03%)
SPG,Simon Property Group,0.10%,182.11,0.45,(0.25%)
SLB,Schlumberger,0.10%,39.73,-0.2,(-0.51%)
ROST,Ross Stores,0.10%,182.26,0.44,(0.24%)
KMI,Kinder Morgan,0.10%,26.56,-0.03,(-0.11%)
WDAY,"Workday, Inc.",0.09%,222.39,-0.36,(-0.16%)
NXPI,NXP Semiconductors,0.09%,230.8,0.01,(0.01%)
PSX,Phillips 66,0.09%,143.97,0.16,(0.11%)
SRE,Sempra,0.09%,88.43,-0.64,(-0.72%)
MPC,Marathon Petroleum,0.09%,190.39,-0.91,(-0.48%)
BDX,Becton Dickinson,0.09%,199.83,1.43,(0.72%)
AZO,AutoZone,0.09%,3423.91,2.78,(0.08%)
AFL,Aflac,0.09%,107.2,0.0,(0.00%)
PYPL,PayPal,0.09%,60.03,-1.13,(-1.85%)
IDXX,Idexx Laboratories,0.09%,701.79,-0.04,(-0.01%)
VST,Vistra Corp.,0.09%,163.06,-2.11,(-1.28%)
DLR,Digital Realty,0.09%,160.31,0.8,(0.50%)
LHX,L3Harris,0.09%,285.81,-0.13,(-0.05%)
F,Ford Motor Company,0.09%,13.39,-0.02,(-0.15%)
VLO,Valero Energy,0.09%,173.45,-2.55,(-1.45%)
ALL,Allstate,0.09%,201.63,0.44,(0.22%)
APD,Air Products,0.09%,237.0,0.29,(0.12%)
DDOG,Datadog,0.09%,150.23,-0.97,(-0.64%)
MET,MetLife,0.08%,79.78,-0.04,(-0.06%)
NDAQ,"Nasdaq, Inc.",0.08%,91.92,-0.0,(-0.01%)
O,Realty Income,0.08%,57.02,0.35,(0.61%)
ZTS,Zoetis,0.08%,118.46,0.39,(0.33%)
URI,United Rentals,0.08%,812.88,-0.72,(-0.09%)
