Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,7.29%,4.9,(2.79%)
AAPL,Apple Inc.,6.18%,0.9,(0.36%)
MSFT,Microsoft,4.62%,1.07,(0.29%)
AMZN,Amazon,3.80%,5.2,(2.51%)
GOOGL,Alphabet Inc. (Class A),3.03%,0.59,(0.20%)
GOOG,Alphabet Inc. (Class C),2.82%,0.57,(0.20%)
AVGO,Broadcom,2.55%,5.67,(1.78%)
META,Meta Platforms,2.52%,5.9,(1.00%)
TSLA,"Tesla, Inc.",2.46%,10.9,(2.85%)
BRK.B,Berkshire Hathaway,1.72%,-1.64,(-0.34%)
WMT,Walmart,1.62%,0.02,(0.01%)
LLY,Lilly (Eli),1.36%,9.29,(1.03%)
JPM,JPMorgan Chase,1.33%,3.17,(1.08%)
XOM,ExxonMobil,1.14%,-1.6,(-0.97%)
V,Visa Inc.,0.97%,0.44,(0.14%)
JNJ,Johnson & Johnson,0.96%,3.58,(1.52%)
MA,Mastercard,0.74%,-0.9,(-0.18%)
MU,Micron Technology,0.73%,-7.29,(-1.84%)
COST,Costco,0.72%,-5.07,(-0.52%)
ORCL,Oracle Corporation,0.71%,2.01,(1.36%)
CVX,Chevron Corporation,0.68%,-1.51,(-0.73%)
NFLX,Netflix,0.65%,0.9,(0.99%)
PLTR,Palantir Technologies,0.63%,3.58,(2.31%)
ABBV,AbbVie,0.61%,3.44,(1.68%)
AMD,Advanced Micro Devices,0.59%,13.55,(6.60%)
BAC,Bank of America,0.58%,0.68,(1.42%)
CAT,Caterpillar Inc.,0.56%,7.92,(1.11%)
PG,Procter & Gamble,0.55%,-0.85,(-0.59%)
HD,Home Depot (The),0.54%,-2.47,(-0.75%)
CSCO,Cisco,0.54%,1.56,(1.92%)
KO,Coca-Cola Company (The),0.53%,-0.53,(-0.71%)
GE,GE Aerospace,0.51%,3.96,(1.36%)
AMAT,Applied Materials,0.49%,-1.43,(-0.38%)
MRK,Merck & Co.,0.49%,2.75,(2.36%)
LRCX,Lam Research,0.49%,-4.72,(-1.98%)
MS,Morgan Stanley,0.44%,1.63,(0.98%)
RTX,RTX Corporation,0.44%,0.58,(0.30%)
GEV,GE Vernova,0.42%,36.24,(3.99%)
PM,Philip Morris International,0.42%,-0.29,(-0.18%)
GS,Goldman Sachs,0.42%,13.58,(1.63%)
WFC,Wells Fargo,0.41%,0.33,(0.41%)
UNH,UnitedHealth Group,0.41%,-2.44,(-0.90%)
INTC,Intel,0.39%,3.04,(6.91%)
TMUS,T-Mobile US,0.39%,-0.18,(-0.08%)
IBM,IBM,0.38%,2.37,(0.99%)
LIN,Linde plc,0.37%,4.35,(0.91%)
MCD,McDonald's,0.37%,0.94,(0.31%)
VZ,Verizon,0.36%,-0.26,(-0.52%)
AXP,American Express,0.35%,0.73,(0.24%)
KLAC,KLA Corporation,0.34%,3.24,(0.21%)
PEP,PepsiCo,0.34%,-1.18,(-0.78%)
T,AT&T,0.34%,0.15,(0.53%)
C,Citigroup,0.34%,1.49,(1.31%)
AMGN,Amgen,0.32%,8.09,(2.32%)
NEE,NextEra Energy,0.32%,0.05,(0.05%)
ABT,Abbott Laboratories,0.30%,0.66,(0.64%)
TMO,Thermo Fisher Scientific,0.30%,-0.62,(-0.13%)
TXN,Texas Instruments,0.30%,2.0,(1.03%)
TJX,TJX Companies,0.29%,-0.81,(-0.51%)
GILD,Gilead Sciences,0.29%,1.35,(0.97%)
DIS,Walt Disney Company (The),0.28%,-0.67,(-0.69%)
CRM,Salesforce,0.28%,0.25,(0.14%)
SCHW,Charles Schwab Corporation,0.28%,0.05,(0.06%)
ISRG,Intuitive Surgical,0.28%,-0.59,(-0.12%)
ANET,Arista Networks,0.28%,1.85,(1.42%)
APH,Amphenol,0.27%,3.26,(2.55%)
ADI,Analog Devices,0.26%,2.75,(0.85%)
COP,ConocoPhillips,0.26%,-0.86,(-0.66%)
BA,Boeing,0.26%,3.18,(1.62%)
DE,Deere & Company,0.26%,-3.85,(-0.66%)
PFE,Pfizer,0.26%,0.4,(1.48%)
BLK,BlackRock,0.25%,-0.46,(-0.05%)
UBER,Uber,0.25%,0.85,(1.17%)
APP,AppLovin Corporation,0.25%,5.51,(1.26%)
ETN,Eaton Corporation,0.24%,1.94,(0.52%)
LMT,Lockheed Martin,0.24%,8.2,(1.34%)
UNP,Union Pacific Corporation,0.24%,-0.29,(-0.12%)
HON,Honeywell,0.24%,1.88,(0.85%)
QCOM,Qualcomm,0.23%,2.84,(2.21%)
WELL,Welltower,0.23%,0.68,(0.35%)
BKNG,Booking Holdings,0.23%,30.84,(0.72%)
DHR,Danaher Corporation,0.22%,-2.05,(-1.08%)
