Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,13.25%,-0.42,(-0.24%)
AAPL,Apple Inc.,11.49%,0.04,(0.02%)
MSFT,Microsoft,8.64%,-9.32,(-2.43%)
AMZN,Amazon,6.93%,-2.83,(-1.35%)
GOOGL,Alphabet Inc. (Class A),5.67%,-10.79,(-3.57%)
GOOG,Alphabet Inc. (Class C),5.26%,-9.51,(-3.18%)
AVGO,Broadcom Inc.,4.69%,-4.31,(-1.33%)
META,Meta Platforms,4.68%,-9.62,(-1.59%)
TSLA,"Tesla, Inc.",4.49%,3.32,(0.87%)
WMT,Walmart,3.03%,1.45,(1.20%)
ASML,ASML Holding,1.68%,29.55,(2.16%)
MU,Micron Technology,1.39%,-8.2,(-2.03%)
COST,Costco,1.35%,8.32,(0.86%)
NFLX,Netflix,1.20%,-2.04,(-2.18%)
PLTR,Palantir Technologies,1.16%,-5.67,(-3.53%)
AMD,Advanced Micro Devices Inc.,1.04%,3.0,(1.48%)
CSCO,Cisco,0.99%,1.96,(2.48%)
LRCX,Lam Research,0.93%,5.61,(2.40%)
AMAT,Applied Materials,0.92%,12.45,(3.44%)
TMUS,T-Mobile US,0.73%,2.77,(1.33%)
LIN,Linde plc,0.69%,3.13,(0.66%)
INTC,Intel,0.69%,0.2,(0.45%)
PEP,PepsiCo,0.64%,-0.31,(-0.20%)
KLAC,KLA Corporation,0.64%,53.46,(3.54%)
AMGN,Amgen,0.59%,-0.06,(-0.02%)
TXN,Texas Instruments,0.55%,6.41,(3.40%)
GILD,Gilead Sciences,0.53%,0.27,(0.20%)
ISRG,Intuitive Surgical,0.53%,-2.43,(-0.51%)
ADI,Analog Devices,0.49%,10.23,(3.28%)
SHOP,Shopify,0.47%,-4.85,(-4.00%)
APP,Applovin Corp,0.46%,-22.14,(-4.82%)
ARM,Arm Holdings,0.44%,-2.66,(-1.95%)
HON,Honeywell,0.44%,-1.26,(-0.56%)
PDD,PDD Holdings,0.43%,1.79,(1.86%)
QCOM,Qualcomm,0.43%,0.26,(0.20%)
BKNG,Booking Holdings,0.42%,-105.11,(-2.39%)
PANW,Palo Alto Networks,0.40%,-6.32,(-3.85%)
INTU,Intuit,0.37%,-24.12,(-5.28%)
VRTX,Vertex Pharmaceuticals,0.36%,-1.71,(-0.38%)
CEG,Constellation Energy,0.33%,6.98,(2.41%)
SBUX,Starbucks,0.33%,-1.45,(-1.55%)
CMCSA,Comcast,0.33%,0.16,(0.57%)
WDC,Western Digital,0.32%,3.83,(1.30%)
CRWD,CrowdStrike,0.31%,-16.92,(-4.09%)
ADBE,Adobe Inc.,0.30%,-7.82,(-3.16%)
STX,Seagate Technology Holdings,0.29%,16.88,(4.18%)
MAR,Marriott International,0.27%,-0.49,(-0.15%)
ADP,ADP,0.26%,-4.19,(-2.00%)
MELI,MercadoLibre,0.26%,-37.54,(-2.25%)
MRVL,Marvell Technology,0.25%,2.3,(2.55%)
