Symbol,Name,Weight,Price,Chg,% Chg
NVDA,Nvidia,13.45%,187.06,-2.15,(-1.14%)
AAPL,Apple Inc.,11.99%,274.16,1.8,(0.66%)
MSFT,Microsoft,10.72%,487.6,0.75,(0.15%)
AMZN,Amazon,7.34%,232.07,-0.07,(-0.03%)
GOOGL,Alphabet Inc. (Class A),5.78%,312.48,-1.87,(-0.60%)
GOOG,Alphabet Inc. (Class C),5.40%,313.97,-1.71,(-0.54%)
META,Meta Platforms,4.96%,665.12,0.18,(0.03%)
AVGO,Broadcom Inc.,4.91%,350.27,0.95,(0.27%)
TSLA,"Tesla, Inc.",4.70%,477.55,-8.01,(-1.65%)
PLTR,Palantir Technologies,1.37%,194.19,0.06,(0.03%)
ASML,ASML Holding,1.22%,1061.86,0.02,(0.00%)
NFLX,Netflix,1.17%,93.27,-0.23,(-0.25%)
COST,Costco,1.14%,871.69,16.9,(1.98%)
AMD,Advanced Micro Devices Inc.,1.03%,214.76,-0.15,(-0.07%)
MU,Micron Technology,0.96%,287.19,10.92,(3.95%)
CSCO,Cisco,0.91%,77.92,-0.1,(-0.13%)
AZN,AstraZeneca,0.85%,92.41,0.27,(0.29%)
APP,Applovin Corp,0.73%,725.72,-2.73,(-0.37%)
TMUS,T-Mobile US,0.66%,198.14,0.47,(0.24%)
LRCX,Lam Research,0.65%,176.1,0.94,(0.54%)
SHOP,Shopify,0.65%,169.45,-0.09,(-0.05%)
AMAT,Applied Materials,0.61%,259.9,-0.33,(-0.13%)
ISRG,Intuitive Surgical,0.61%,577.23,-0.11,(-0.02%)
LIN,Linde plc,0.59%,425.47,0.37,(0.09%)
PEP,PepsiCo,0.58%,143.34,-0.34,(-0.24%)
INTU,Intuit,0.56%,675.65,1.51,(0.22%)
QCOM,Qualcomm,0.55%,175.0,0.25,(0.14%)
AMGN,Amgen,0.53%,333.23,1.74,(0.52%)
BKNG,Booking Holdings,0.52%,5461.56,22.29,(0.41%)
INTC,Intel,0.51%,35.85,-0.51,(-1.39%)
KLAC,KLA Corporation,0.50%,1274.01,5.26,(0.41%)
PDD,PDD Holdings,0.48%,113.81,1.75,(1.56%)
TXN,Texas Instruments,0.48%,177.42,0.34,(0.19%)
GILD,Gilead Sciences,0.46%,125.94,0.75,(0.60%)
ADBE,Adobe Inc.,0.44%,353.81,1.39,(0.39%)
ADI,Analog Devices,0.40%,278.21,1.48,(0.53%)
PANW,Palo Alto Networks,0.39%,186.78,-1.34,(-0.71%)
HON,Honeywell,0.37%,195.72,0.22,(0.11%)
CRWD,CrowdStrike,0.35%,474.57,-4.27,(-0.89%)
ARM,Arm Holdings,0.35%,110.93,-1.09,(-0.98%)
VRTX,Vertex Pharmaceuticals,0.35%,463.67,4.46,(0.97%)
CEG,Constellation Energy,0.34%,362.86,1.53,(0.42%)
CMCSA,Comcast,0.32%,29.67,0.29,(0.98%)
ADP,ADP,0.31%,258.68,1.68,(0.65%)
MELI,MercadoLibre,0.30%,1996.18,1.11,(0.06%)
DASH,DoorDash,0.30%,232.62,-0.08,(-0.04%)
SBUX,Starbucks,0.28%,83.76,-0.1,(-0.12%)
SNPS,Synopsys,0.27%,474.48,-0.99,(-0.21%)
CDNS,Cadence Design Systems,0.25%,316.41,-0.52,(-0.16%)
MAR,Marriott International,0.25%,315.81,1.74,(0.55%)
ABNB,Airbnb,0.25%,136.95,0.46,(0.34%)
REGN,Regeneron Pharmaceuticals,0.24%,787.41,2.24,(0.28%)
ORLY,O'Reilly Automotive,0.23%,92.68,0.61,(0.66%)
CTAS,Cintas,0.23%,191.06,0.4,(0.21%)
MNST,Monster Beverage,0.22%,77.19,-0.48,(-0.62%)
MRVL,Marvell Technology,0.22%,86.59,-1.09,(-1.24%)
WBD,Warner Bros. Discovery,0.21%,29.15,0.0,(0.00%)
MDLZ,Mondelez International,0.21%,54.36,0.21,(0.40%)
CSX,CSX Corporation,0.20%,36.62,0.02,(0.07%)
ADSK,Autodesk,0.19%,298.54,0.96,(0.32%)
AEP,American Electric Power,0.18%,115.13,-0.02,(-0.02%)
FTNT,Fortinet,0.18%,81.09,0.43,(0.53%)
TRI,Thomson Reuters Corporation,0.17%,132.49,-0.56,(-0.42%)
ROST,Ross Stores,0.17%,181.27,0.66,(0.37%)
PCAR,Paccar,0.17%,111.61,-0.11,(-0.10%)
WDAY,"Workday, Inc.",0.17%,217.61,2.17,(1.01%)
NXPI,NXP Semiconductors,0.17%,225.2,-0.78,(-0.35%)
PYPL,PayPal,0.17%,59.66,0.25,(0.42%)
IDXX,Idexx Laboratories,0.16%,685.3,2.99,(0.44%)
EA,Electronic Arts,0.15%,204.49,0.22,(0.11%)
ROP,Roper Technologies,0.14%,451.4,2.06,(0.46%)
FAST,Fastenal,0.14%,41.83,0.11,(0.25%)
DDOG,Datadog,0.14%,136.67,-4.56,(-3.23%)
AXON,Axon Enterprise Inc.,0.14%,588.67,-2.35,(-0.40%)
TTWO,Take-Two Interactive,0.14%,249.48,0.25,(0.10%)
MSTR,MicroStrategy Inc.,0.13%,157.06,-0.82,(-0.52%)
BKR,Baker Hughes,0.13%,45.16,-0.03,(-0.07%)
EXC,Exelon,0.13%,43.46,-0.01,(-0.01%)
XEL,Xcel Energy,0.13%,73.97,-0.04,(-0.05%)
TEAM,Atlassian,0.13%,161.24,-1.15,(-0.71%)
FANG,Diamondback Energy,0.12%,146.92,-1.24,(-0.84%)
PAYX,Paychex,0.12%,114.93,0.83,(0.73%)
CTSH,Cognizant,0.12%,85.48,0.3,(0.35%)
CCEP,Coca-Cola Europacific Partners,0.12%,91.37,-0.2,(-0.22%)
GEHC,GE HealthCare,0.11%,83.38,0.06,(0.07%)
KDP,Keurig Dr Pepper,0.11%,27.9,-0.0,(-0.02%)
CPRT,Copart,0.11%,39.09,-0.06,(-0.17%)
ZS,Zscaler,0.11%,228.11,-1.21,(-0.53%)
MCHP,Microchip Technology,0.10%,65.54,0.19,(0.28%)
ODFL,Old Dominion Freight Line,0.10%,159.17,0.55,(0.35%)
VRSK,Verisk,0.09%,219.45,0.98,(0.45%)
CSGP,CoStar Group,0.08%,67.25,0.61,(0.92%)
KHC,Kraft Heinz,0.08%,23.87,0.17,(0.73%)
CHTR,Charter Communications,0.08%,207.23,1.95,(0.95%)
DXCM,DexCom,0.08%,67.35,0.49,(0.73%)
BIIB,Biogen,0.08%,176.78,1.96,(1.12%)
