Symbol,Name,Weight,Price,Chg,% Chg
NVDA,Nvidia,12.90%,175.72,-5.21,(-2.88%)
AAPL,Apple Inc.,12.40%,277.73,-0.3,(-0.11%)
MSFT,Microsoft,10.72%,477.37,-6.1,(-1.26%)
AMZN,Amazon,7.30%,226.06,-4.22,(-1.83%)
GOOGL,Alphabet Inc. (Class A),5.81%,307.5,-4.93,(-1.58%)
GOOG,Alphabet Inc. (Class C),5.42%,308.91,-4.79,(-1.53%)
AVGO,Broadcom Inc.,5.14%,360.53,-45.84,(-11.28%)
META,Meta Platforms,4.87%,640.03,-12.69,(-1.94%)
TSLA,"Tesla, Inc.",4.45%,442.55,-4.34,(-0.97%)
PLTR,Palantir Technologies,1.29%,179.34,-8.2,(-4.37%)
ASML,ASML Holding,1.27%,1083.04,-39.8,(-3.54%)
NFLX,Netflix,1.22%,95.1,1.01,(1.08%)
COST,Costco,1.17%,874.25,-10.23,(-1.16%)
AMD,Advanced Micro Devices Inc.,1.03%,210.27,-11.16,(-5.04%)
CSCO,Cisco,0.93%,78.14,-1.13,(-1.42%)
AZN,AstraZeneca,0.84%,89.55,-0.74,(-0.82%)
MU,Micron Technology,0.82%,242.38,-16.08,(-6.22%)
APP,Applovin Corp,0.69%,678.55,-38.43,(-5.36%)
TMUS,T-Mobile US,0.66%,195.9,0.56,(0.29%)
SHOP,Shopify,0.63%,160.03,-4.72,(-2.87%)
AMAT,Applied Materials,0.63%,260.29,-9.82,(-3.64%)
PEP,PepsiCo,0.62%,149.48,0.44,(0.29%)
LRCX,Lam Research,0.61%,161.13,-7.58,(-4.49%)
LIN,Linde plc,0.58%,414.32,11.02,(2.73%)
QCOM,Qualcomm,0.58%,178.9,-2.37,(-1.31%)
ISRG,Intuitive Surgical,0.58%,538.73,-8.63,(-1.58%)
INTU,Intuit,0.56%,669.41,-6.6,(-0.98%)
INTC,Intel,0.55%,38.21,-1.3,(-3.28%)
