Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,7.10%,5.57,(3.14%)
AAPL,Apple Inc.,6.25%,2.16,(0.82%)
MSFT,Microsoft,4.75%,6.97,(1.77%)
AMZN,Amazon,3.58%,-1.48,(-0.70%)
GOOGL,Alphabet Inc. (Class A),3.08%,-4.18,(-1.34%)
GOOG,Alphabet Inc. (Class C),2.87%,-3.96,(-1.27%)
META,Meta Platforms,2.65%,7.39,(1.14%)
TSLA,"Tesla, Inc.",2.42%,-0.06,(-0.01%)
AVGO,Broadcom,2.41%,-2.31,(-0.72%)
BRK.B,Berkshire Hathaway,1.67%,-21.56,(-4.27%)
WMT,Walmart,1.63%,-0.04,(-0.03%)
LLY,Lilly (Eli),1.55%,-26.08,(-2.48%)
JPM,JPMorgan Chase,1.29%,-1.66,(-0.55%)
XOM,ExxonMobil,1.03%,1.46,(0.96%)
V,Visa Inc.,0.99%,1.55,(0.48%)
JNJ,Johnson & Johnson,0.96%,0.14,(0.06%)
MA,Mastercard,0.75%,7.11,(1.37%)
MU,Micron Technology,0.74%,-0.73,(-0.18%)
COST,Costco,0.71%,-3.8,(-0.38%)
ORCL,Oracle Corporation,0.69%,4.39,(3.02%)
ABBV,AbbVie,0.66%,2.17,(0.93%)
NFLX,Netflix,0.66%,1.5,(1.56%)
PG,Procter & Gamble,0.61%,-2.68,(-1.60%)
CVX,Chevron Corporation,0.60%,1.66,(0.89%)
HD,Home Depot (The),0.59%,-10.36,(-2.72%)
GE,GE Aerospace,0.58%,4.43,(1.29%)
BAC,Bank of America,0.58%,0.25,(0.51%)
CAT,Caterpillar Inc.,0.56%,10.99,(1.48%)
PLTR,Palantir Technologies,0.56%,8.47,(6.17%)
KO,Coca-Cola Company (The),0.55%,-0.89,(-1.09%)
AMD,Advanced Micro Devices,0.52%,-2.18,(-1.09%)
CSCO,Cisco,0.50%,-0.26,(-0.33%)
MRK,Merck & Co.,0.48%,-1.85,(-1.49%)
AMAT,Applied Materials,0.47%,-0.5,(-0.14%)
LRCX,Lam Research,0.46%,-1.82,(-0.78%)
PM,Philip Morris International,0.46%,-1.9,(-1.02%)
RTX,RTX Corporation,0.45%,9.15,(4.52%)
UNH,UnitedHealth Group,0.43%,1.03,(0.35%)
MS,Morgan Stanley,0.43%,1.26,(0.76%)
GS,Goldman Sachs,0.42%,5.53,(0.64%)
WFC,Wells Fargo,0.41%,1.38,(1.69%)
MCD,McDonald's,0.38%,-4.7,(-1.38%)
GEV,GE Vernova,0.38%,6.96,(0.80%)
TMUS,T-Mobile US,0.38%,-1.93,(-0.89%)
LIN,Linde plc,0.38%,0.71,(0.14%)
PEP,PepsiCo,0.37%,-1.55,(-0.91%)
INTC,Intel,0.36%,-0.21,(-0.47%)
IBM,IBM,0.36%,-0.78,(-0.32%)
AXP,American Express,0.34%,0.79,(0.26%)
VZ,Verizon,0.34%,0.02,(0.05%)
AMGN,Amgen,0.33%,-3.78,(-0.97%)
KLAC,KLA Corporation,0.32%,2.34,(0.15%)
ABT,Abbott Laboratories,0.32%,-1.28,(-1.10%)
T,AT&T,0.31%,0.05,(0.20%)
C,Citigroup,0.31%,1.34,(1.22%)
NEE,NextEra Energy,0.31%,-0.92,(-0.98%)
TMO,Thermo Fisher Scientific,0.31%,-10.9,(-2.09%)
TXN,Texas Instruments,0.31%,-1.88,(-0.89%)
GILD,Gilead Sciences,0.30%,1.5,(1.01%)
DIS,Walt Disney Company (The),0.29%,-1.95,(-1.84%)
CRM,Salesforce,0.29%,-1.41,(-0.72%)
BA,Boeing,0.29%,1.91,(0.84%)
TJX,TJX Companies,0.29%,-0.37,(-0.23%)
ISRG,Intuitive Surgical,0.28%,-4.75,(-0.94%)
ADI,Analog Devices,0.28%,-1.54,(-0.43%)
DE,Deere & Company,0.27%,2.63,(0.42%)
SCHW,Charles Schwab Corporation,0.27%,1.03,(1.08%)
APH,Amphenol,0.27%,-9.37,(-6.41%)
BLK,BlackRock,0.27%,6.94,(0.65%)
ANET,Arista Networks,0.26%,-4.48,(-3.36%)
UNP,Union Pacific Corporation,0.25%,2.59,(0.98%)
UBER,Uber,0.25%,0.91,(1.20%)
HON,Honeywell,0.25%,3.54,(1.45%)
PFE,Pfizer,0.25%,-0.34,(-1.25%)
LMT,Lockheed Martin,0.25%,13.3,(2.02%)
QCOM,Qualcomm,0.24%,-0.47,(-0.33%)
SYK,Stryker Corporation,0.24%,0.93,(0.24%)
WELL,Welltower,0.23%,2.85,(1.38%)
APP,AppLovin Corporation,0.23%,-0.81,(-0.19%)
ETN,Eaton Corporation,0.23%,0.77,(0.21%)
DHR,Danaher Corporation,0.23%,-3.8,(-1.80%)
LOW,Lowe's,0.23%,-6.4,(-2.42%)
COP,ConocoPhillips,0.23%,3.39,(2.98%)
NEM,Newmont,0.22%,-0.98,(-0.75%)
GLW,Corning Inc.,0.22%,8.28,(5.51%)
CB,Chubb Limited,0.22%,4.23,(1.24%)
BKNG,Booking Holdings,0.21%,-30.71,(-0.72%)
SPGI,S&P Global,0.21%,2.25,(0.51%)
PLD,Prologis,0.21%,0.06,(0.04%)
PH,Parker Hannifin,0.20%,4.36,(0.43%)
ACN,Accenture,0.20%,-1.92,(-0.92%)
BMY,Bristol Myers Squibb,0.20%,0.1,(0.15%)
MDT,Medtronic,0.20%,0.92,(0.94%)
PGR,Progressive Corporation,0.20%,0.49,(0.23%)
VRTX,Vertex Pharmaceuticals,0.20%,-6.65,(-1.34%)
PANW,Palo Alto Networks,0.20%,2.53,(1.70%)
COF,Capital One,0.20%,-0.33,(-0.17%)
MCK,McKesson Corporation,0.19%,2.38,(0.24%)
CEG,Constellation Energy,0.19%,-0.28,(-0.09%)
HCA,HCA Healthcare,0.19%,3.13,(0.59%)
INTU,Intuit,0.19%,16.25,(3.97%)
CME,CME Group,0.19%,7.94,(2.48%)
