Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,13.60%,3.93,(2.15%)
AAPL,Apple Inc.,11.67%,9.55,(3.73%)
MSFT,Microsoft,8.85%,-3.76,(-0.94%)
AMZN,Amazon,6.47%,2.27,(1.14%)
GOOGL,Alphabet Inc. (Class A),5.68%,-2.79,(-0.91%)
GOOG,Alphabet Inc. (Class C),5.31%,-2.57,(-0.84%)
META,Meta Platforms,4.86%,0.95,(0.15%)
AVGO,Broadcom Inc.,4.76%,9.91,(3.05%)
TSLA,"Tesla, Inc.",4.63%,-5.47,(-1.31%)
WMT,Walmart,3.08%,-4.95,(-3.69%)
ASML,ASML Holding,1.66%,21.73,(1.55%)
MU,Micron Technology,1.36%,-7.22,(-1.75%)
COST,Costco,1.35%,-3.94,(-0.39%)
AMD,Advanced Micro Devices Inc.,1.00%,-2.97,(-1.43%)
NFLX,Netflix,0.97%,0.15,(0.19%)
PLTR,Palantir Technologies,0.96%,2.55,(1.94%)
CSCO,Cisco,0.91%,0.31,(0.40%)
LRCX,Lam Research,0.89%,2.32,(0.99%)
AMAT,Applied Materials,0.86%,6.26,(1.76%)
TMUS,T-Mobile US,0.73%,0.97,(0.44%)
INTC,Intel,0.70%,-0.04,(-0.09%)
LIN,Linde plc,0.68%,1.79,(0.37%)
PEP,PepsiCo,0.66%,-4.75,(-2.86%)
TXN,Texas Instruments,0.62%,0.9,(0.40%)
AMGN,Amgen,0.60%,5.15,(1.39%)
KLAC,KLA Corporation,0.58%,13.38,(0.91%)
GILD,Gilead Sciences,0.58%,0.19,(0.12%)
ISRG,Intuitive Surgical,0.53%,7.47,(1.54%)
ADI,Analog Devices,0.50%,2.77,(0.82%)
HON,Honeywell,0.46%,2.84,(1.18%)
QCOM,Qualcomm,0.46%,2.42,(1.72%)
SHOP,Shopify,0.45%,1.21,(1.08%)
PDD,PDD Holdings,0.43%,1.92,(1.91%)
ARM,Arm Holdings,0.40%,1.52,(1.21%)
BKNG,Booking Holdings,0.40%,11.94,(0.29%)
PANW,Palo Alto Networks,0.40%,-3.28,(-1.97%)
APP,Applovin Corp,0.39%,-9.73,(-2.49%)
VRTX,Vertex Pharmaceuticals,0.36%,-13.57,(-2.76%)
CMCSA,Comcast,0.34%,0.32,(1.02%)
CEG,Constellation Energy,0.33%,11.52,(3.99%)
SBUX,Starbucks,0.33%,1.42,(1.51%)
ADBE,Adobe Inc.,0.32%,-3.69,(-1.40%)
INTU,Intuit,0.32%,-21.26,(-5.32%)
CRWD,CrowdStrike,0.31%,-18.43,(-4.29%)
MELI,MercadoLibre,0.30%,-16.26,(-0.82%)
WDC,Western Digital,0.29%,5.86,(2.08%)
MAR,Marriott International,0.29%,5.75,(1.62%)
STX,Seagate Technology Holdings,0.28%,-2.07,(-0.49%)
ADP,ADP,0.26%,0.62,(0.29%)
REGN,Regeneron Pharmaceuticals,0.25%,-14.15,(-1.76%)
MNST,Monster Beverage,0.24%,0.96,(1.18%)
SNPS,Synopsys,0.24%,-16.45,(-3.76%)
ORLY,O'Reilly Automotive,0.24%,-3.43,(-3.55%)
CTAS,Cintas,0.23%,1.71,(0.88%)
CDNS,Cadence Design Systems,0.23%,-13.33,(-4.45%)
CSX,CSX Corporation,0.23%,0.11,(0.27%)
MDLZ,Mondelez International,0.23%,-3.17,(-5.07%)
ABNB,Airbnb,0.23%,4.06,(3.35%)
WBD,Warner Bros. Discovery,0.22%,0.96,(3.45%)
AEP,American Electric Power,0.21%,0.12,(0.09%)
DASH,DoorDash,0.21%,2.62,(1.64%)
MRVL,Marvell Technology,0.20%,1.45,(1.84%)
PCAR,Paccar,0.20%,0.22,(0.18%)
ROST,Ross Stores,0.19%,0.69,(0.35%)
NXPI,NXP Semiconductors,0.19%,1.48,(0.61%)
FTNT,Fortinet,0.18%,-3.99,(-4.67%)
BKR,Baker Hughes,0.18%,-1.24,(-2.03%)
MPWR,Monolithic Power Systems,0.17%,20.14,(1.72%)
FAST,Fastenal,0.16%,-0.42,(-0.91%)
