Symbol,Name,Weight,Price,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.77%,941.97,0.95,(0.10%)
CAT,Caterpillar Inc.,7.50%,600.28,3.76,(0.63%)
MSFT,Microsoft Corporation,5.97%,477.64,-5.84,(-1.21%)
AXP,American Express Company,4.79%,383.87,5.65,(1.49%)
HD,"The Home Depot, Inc.",4.50%,360.48,11.42,(3.27%)
V,Visa Inc.,4.42%,354.13,-1.75,(-0.49%)
UNH,UnitedHealth Group Incorporated,4.33%,346.86,5.16,(1.51%)
SHW,Sherwin-Williams,4.25%,340.13,8.72,(2.63%)
AMGN,Amgen Inc.,4.20%,336.33,-5.31,(-1.55%)
JPM,JPMorgan Chase & Co.,4.13%,330.33,3.34,(1.02%)
MCD,McDonald's Corporation,3.84%,307.73,3.57,(1.17%)
IBM,International Business Machines Corporation,3.78%,302.4,5.67,(1.91%)
TRV,"The Travelers Companies, Inc.",3.55%,284.03,0.83,(0.29%)
CRM,"Salesforce, Inc.",3.28%,262.57,-3.55,(-1.34%)
AAPL,Apple Inc.,3.23%,258.39,-1.94,(-0.74%)
AMZN,"Amazon.com, Inc.amazon.com",3.05%,244.35,2.78,(1.15%)
BA,The Boeing Company,2.87%,229.65,1.53,(0.67%)
JNJ,Johnson & Johnson,2.59%,207.13,-0.36,(-0.17%)
HON,Honeywell International Inc.,2.55%,204.54,5.03,(2.52%)
NVDA,Nvidia,2.31%,185.28,-3.83,(-2.02%)
MMM,3M Company,2.05%,163.89,0.98,(0.60%)
CVX,Chevron Corporation,1.97%,157.55,2.35,(1.51%)
PG,The Procter & Gamble Company,1.76%,141.2,3.16,(2.29%)
DIS,The Walt Disney Company,1.42%,113.86,0.95,(0.84%)
WMT,Walmart Inc.,1.40%,112.33,-0.39,(-0.35%)
MRK,"Merck & Co., Inc.",1.39%,111.33,2.73,(2.51%)
CSCO,"Cisco Systems, Inc.",0.92%,73.8,-0.92,(-1.24%)
KO,The Coca-Cola Company,0.86%,69.07,1.52,(2.26%)
NKE,"Nike, Inc.",0.80%,64.17,0.95,(1.51%)
VZ,Verizon Communications Inc.,0.51%,40.46,0.33,(0.82%)
