Symbol,Name,Weight,Price,Chg,% Chg
NVDA,Nvidia,7.16%,184.45,-4.66,(-2.46%)
AAPL,Apple Inc.,6.07%,257.26,-3.07,(-1.18%)
MSFT,Microsoft,5.67%,477.95,-5.52,(-1.14%)
AMZN,Amazon,4.20%,246.05,4.49,(1.86%)
GOOGL,Alphabet Inc. (Class A),3.27%,327.13,5.15,(1.60%)
GOOG,Alphabet Inc. (Class C),3.04%,327.61,5.18,(1.61%)
META,Meta Platforms,2.59%,644.15,-4.54,(-0.70%)
AVGO,Broadcom,2.51%,331.92,-11.58,(-3.37%)
TSLA,"Tesla, Inc.",2.31%,435.95,4.54,(1.05%)
BRK.B,Berkshire Hathaway,1.73%,502.92,6.8,(1.37%)
LLY,Lilly (Eli),1.56%,1093.95,-14.14,(-1.28%)
JPM,JPMorgan Chase,1.44%,331.25,4.26,(1.30%)
WMT,Walmart,1.44%,113.03,0.31,(0.28%)
V,Visa Inc.,1.09%,354.53,-1.35,(-0.38%)
ORCL,Oracle Corporation,0.87%,190.03,-2.81,(-1.46%)
MA,Mastercard,0.84%,585.28,5.36,(0.92%)
XOM,ExxonMobil,0.82%,121.7,3.21,(2.71%)
JNJ,Johnson & Johnson,0.79%,206.54,-0.95,(-0.46%)
PLTR,Palantir Technologies,0.68%,177.86,-3.82,(-2.10%)
BAC,Bank of America,0.66%,56.51,0.87,(1.55%)
COST,Costco,0.66%,927.43,44.85,(5.08%)
ABBV,AbbVie,0.63%,224.81,-8.61,(-3.69%)
NFLX,Netflix,0.61%,90.14,-0.59,(-0.66%)
MU,Micron Technology,0.58%,325.39,-14.16,(-4.17%)
HD,Home Depot (The),0.57%,361.79,12.73,(3.65%)
AMD,Advanced Micro Devices,0.53%,204.82,-5.2,(-2.48%)
GE,GE Aerospace,0.53%,315.14,-8.5,(-2.63%)
PG,Procter & Gamble,0.53%,141.28,3.24,(2.35%)
CVX,Chevron Corporation,0.50%,158.01,2.81,(1.81%)
UNH,UnitedHealth Group,0.50%,346.59,4.89,(1.43%)
WFC,Wells Fargo,0.48%,95.98,1.69,(1.79%)
KO,Coca-Cola Company (The),0.48%,69.19,1.65,(2.44%)
MS,Morgan Stanley,0.47%,185.77,0.98,(0.53%)
CSCO,Cisco,0.47%,73.77,-0.95,(-1.27%)
IBM,IBM,0.45%,303.0,6.27,(2.11%)
GS,Goldman Sachs,0.45%,944.04,3.01,(0.32%)
CAT,Caterpillar Inc.,0.45%,600.42,3.9,(0.65%)
MRK,Merck & Co.,0.44%,110.77,2.17,(2.00%)
AXP,American Express,0.42%,384.78,6.56,(1.74%)
LRCX,Lam Research,0.40%,200.07,-3.01,(-1.48%)
RTX,RTX Corporation,0.40%,187.12,1.39,(0.75%)
CRM,Salesforce,0.39%,263.59,-2.53,(-0.95%)
PM,Philip Morris International,0.39%,158.22,3.07,(1.98%)
TMO,Thermo Fisher Scientific,0.37%,616.96,-0.19,(-0.03%)
AMAT,Applied Materials,0.36%,280.55,-11.65,(-3.99%)
ABT,Abbott Laboratories,0.35%,127.3,0.26,(0.21%)
TMUS,T-Mobile US,0.35%,196.84,-0.45,(-0.23%)
MCD,McDonald's,0.35%,308.29,4.13,(1.36%)
C,Citigroup,0.35%,121.75,0.38,(0.31%)
APP,AppLovin Corporation,0.34%,623.41,-9.51,(-1.50%)
ISRG,Intuitive Surgical,0.33%,589.18,-3.1,(-0.52%)
DIS,Walt Disney Company (The),0.33%,114.69,1.78,(1.58%)
LIN,Linde plc,0.33%,438.21,4.07,(0.94%)
