Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.43%,-16.67,(-1.79%)
CAT,Caterpillar Inc.,9.42%,3.77,(0.50%)
MSFT,Microsoft Corporation,4.98%,-0.37,(-0.09%)
HD,"The Home Depot, Inc.",4.75%,-2.52,(-0.66%)
AMGN,Amgen Inc.,4.70%,-2.69,(-0.71%)
SHW,Sherwin-Williams,4.49%,-5.75,(-1.57%)
AXP,American Express Company,4.24%,-6.17,(-1.78%)
MCD,McDonald's Corporation,4.12%,2.31,(0.70%)
V,Visa Inc.,3.96%,-2.88,(-0.90%)
JPM,JPMorgan Chase & Co.,3.84%,-0.72,(-0.23%)
TRV,"The Travelers Companies, Inc.",3.72%,0.08,(0.03%)
UNH,UnitedHealth Group Incorporated,3.59%,0.18,(0.06%)
AAPL,Apple Inc.,3.28%,-1.42,(-0.54%)
IBM,International Business Machines Corporation,3.19%,-4.48,(-1.72%)
JNJ,Johnson & Johnson,3.06%,0.37,(0.15%)
HON,Honeywell International Inc.,3.00%,-0.8,(-0.33%)
BA,The Boeing Company,2.93%,-3.64,(-1.52%)
AMZN,"Amazon.com, Inc.amazon.com",2.55%,-0.12,(-0.06%)
NVDA,Nvidia,2.32%,-1.58,(-0.84%)
CVX,Chevron Corporation,2.32%,2.26,(1.23%)
CRM,"Salesforce, Inc.",2.32%,-1.96,(-1.04%)
MMM,3M Company,2.05%,0.51,(0.31%)
PG,The Procter & Gamble Company,1.97%,1.42,(0.91%)
WMT,Walmart Inc.,1.58%,0.28,(0.22%)
MRK,"Merck & Co., Inc.",1.51%,-0.47,(-0.38%)
DIS,The Walt Disney Company,1.32%,-1.32,(-1.23%)
KO,The Coca-Cola Company,0.98%,-0.72,(-0.90%)
CSCO,"Cisco Systems, Inc.",0.98%,0.28,(0.36%)
NKE,"Nike, Inc.",0.81%,-0.77,(-1.17%)
VZ,Verizon Communications Inc.,0.61%,0.73,(1.51%)
