Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,13.47%,3.12,(1.73%)
AAPL,Apple Inc.,11.20%,2.28,(0.91%)
MSFT,Microsoft,8.96%,3.62,(0.91%)
AMZN,Amazon,6.88%,4.38,(2.11%)
GOOGL,Alphabet Inc. (Class A),5.77%,3.1,(1.03%)
GOOG,Alphabet Inc. (Class C),5.37%,2.78,(0.92%)
META,Meta Platforms,4.80%,13.96,(2.27%)
AVGO,Broadcom Inc.,4.67%,3.98,(1.24%)
TSLA,"Tesla, Inc.",4.50%,5.13,(1.31%)
WMT,Walmart,3.03%,-0.91,(-0.72%)
ASML,ASML Holding,1.60%,28.01,(2.08%)
MU,Micron Technology,1.52%,19.69,(4.62%)
COST,Costco,1.34%,-5.64,(-0.56%)
NFLX,Netflix,1.21%,-0.11,(-0.12%)
PLTR,Palantir Technologies,1.11%,1.99,(1.32%)
AMD,Advanced Micro Devices Inc.,0.97%,3.05,(1.58%)
CSCO,Cisco,0.94%,0.58,(0.74%)
AMAT,Applied Materials,0.83%,3.29,(0.96%)
LRCX,Lam Research,0.82%,5.86,(2.76%)
TMUS,T-Mobile US,0.71%,-2.77,(-1.27%)
INTC,Intel,0.70%,0.47,(1.02%)
LIN,Linde plc,0.70%,4.22,(0.86%)
PEP,PepsiCo,0.65%,-1.85,(-1.16%)
AMGN,Amgen,0.60%,-0.16,(-0.04%)
KLAC,KLA Corporation,0.57%,26.73,(1.88%)
GILD,Gilead Sciences,0.54%,-0.04,(-0.03%)
TXN,Texas Instruments,0.54%,4.0,(2.09%)
ISRG,Intuitive Surgical,0.52%,9.83,(2.08%)
SHOP,Shopify,0.50%,2.99,(2.43%)
APP,Applovin Corp,0.46%,-7.28,(-1.59%)
ADI,Analog Devices,0.46%,5.26,(1.72%)
HON,Honeywell,0.45%,0.85,(0.36%)
PDD,PDD Holdings,0.45%,1.06,(1.03%)
QCOM,Qualcomm,0.42%,-0.3,(-0.23%)
PANW,Palo Alto Networks,0.41%,0.24,(0.14%)
BKNG,Booking Holdings,0.41%,46.86,(1.10%)
ARM,Arm Holdings,0.39%,6.07,(5.24%)
INTU,Intuit,0.38%,9.15,(2.08%)
VRTX,Vertex Pharmaceuticals,0.36%,-6.6,(-1.41%)
SBUX,Starbucks,0.34%,-1.35,(-1.36%)
CEG,Constellation Energy,0.33%,2.82,(0.93%)
CMCSA,Comcast,0.33%,0.29,(0.94%)
CRWD,CrowdStrike,0.33%,-15.6,(-3.53%)
ADBE,Adobe Inc.,0.31%,2.95,(1.18%)
WDC,Western Digital,0.29%,12.6,(4.63%)
STX,Seagate Technology Holdings,0.27%,15.35,(4.00%)
MELI,MercadoLibre,0.27%,63.99,(3.83%)
MAR,Marriott International,0.26%,7.4,(2.36%)
