Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",10.57%,12.44,(1.57%)
CAT,Caterpillar Inc.,9.22%,4.8,(0.69%)
MSFT,Microsoft Corporation,5.23%,-0.69,(-0.17%)
AMGN,Amgen Inc.,4.75%,-3.25,(-0.89%)
HD,"The Home Depot, Inc.",4.47%,-1.26,(-0.37%)
MCD,McDonald's Corporation,4.27%,-0.59,(-0.18%)
SHW,Sherwin-Williams,4.20%,-1.96,(-0.61%)
V,Visa Inc.,4.04%,-1.34,(-0.43%)
TRV,"The Travelers Companies, Inc.",4.01%,1.72,(0.56%)
AXP,American Express Company,3.94%,3.13,(1.05%)
UNH,UnitedHealth Group Incorporated,3.76%,2.0,(0.70%)
JPM,JPMorgan Chase & Co.,3.76%,0.91,(0.32%)
IBM,International Business Machines Corporation,3.34%,6.24,(2.51%)
AAPL,Apple Inc.,3.33%,1.55,(0.61%)
JNJ,Johnson & Johnson,3.12%,-5.2,(-2.14%)
HON,Honeywell International Inc.,3.05%,-1.31,(-0.56%)
AMZN,"Amazon.com, Inc.amazon.com",2.82%,3.32,(1.57%)
BA,The Boeing Company,2.75%,-3.19,(-1.49%)
CVX,Chevron Corporation,2.59%,1.19,(0.61%)
CRM,"Salesforce, Inc.",2.56%,-2.96,(-1.49%)
NVDA,Nvidia,2.38%,-1.33,(-0.73%)
PG,The Procter & Gamble Company,1.98%,-0.63,(-0.41%)
MMM,3M Company,1.95%,-0.88,(-0.59%)
WMT,Walmart Inc.,1.64%,-0.89,(-0.70%)
MRK,"Merck & Co., Inc.",1.52%,0.45,(0.39%)
DIS,The Walt Disney Company,1.31%,1.53,(1.55%)
CSCO,"Cisco Systems, Inc.",1.04%,0.51,(0.64%)
KO,The Coca-Cola Company,1.02%,-0.28,(-0.36%)
NKE,"Nike, Inc.",0.72%,0.44,(0.79%)
VZ,Verizon Communications Inc.,0.66%,-0.37,(-0.73%)
