Symbol,Name,Weight,Price,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.37%,892.53,4.57,(0.51%)
CAT,Caterpillar Inc.,7.56%,593.3,-4.59,(-0.77%)
MSFT,Microsoft Corporation,6.03%,473.67,-4.86,(-1.02%)
AXP,American Express Company,4.86%,381.64,-0.92,(-0.24%)
HD,"The Home Depot, Inc.",4.54%,356.75,-2.9,(-0.81%)
V,Visa Inc.,4.39%,344.46,-3.38,(-0.97%)
UNH,UnitedHealth Group Incorporated,4.34%,340.92,-0.92,(-0.27%)
SHW,Sherwin-Williams,4.17%,327.21,-1.49,(-0.45%)
AMGN,Amgen Inc.,4.11%,322.69,4.95,(1.56%)
JPM,JPMorgan Chase & Co.,4.08%,319.99,1.47,(0.46%)
MCD,McDonald's Corporation,4.04%,317.03,0.31,(0.10%)
IBM,International Business Machines Corporation,3.94%,309.17,-0.07,(-0.02%)
TRV,"The Travelers Companies, Inc.",3.66%,287.16,1.85,(0.65%)
AAPL,Apple Inc.,3.49%,274.0,-4.28,(-1.54%)
CRM,"Salesforce, Inc.",3.23%,253.9,-8.33,(-3.18%)
AMZN,"Amazon.com, Inc.amazon.com",2.84%,222.66,-3.53,(-1.56%)
JNJ,Johnson & Johnson,2.73%,214.24,2.66,(1.26%)
BA,The Boeing Company,2.60%,204.07,-0.31,(-0.15%)
HON,Honeywell International Inc.,2.49%,195.66,2.0,(1.03%)
NVDA,Nvidia,2.25%,176.78,1.76,(1.01%)
MMM,3M Company,2.11%,165.48,-3.42,(-2.03%)
CVX,Chevron Corporation,1.89%,148.66,-1.33,(-0.89%)
PG,The Procter & Gamble Company,1.84%,144.6,1.76,(1.23%)
WMT,Walmart Inc.,1.48%,116.56,-0.14,(-0.12%)
DIS,The Walt Disney Company,1.41%,110.51,-1.09,(-0.98%)
MRK,"Merck & Co., Inc.",1.26%,99.28,-1.02,(-1.02%)
CSCO,"Cisco Systems, Inc.",1.00%,78.56,0.76,(0.97%)
KO,The Coca-Cola Company,0.90%,70.7,0.17,(0.25%)
NKE,"Nike, Inc.",0.86%,67.65,0.18,(0.27%)
VZ,Verizon Communications Inc.,0.52%,41.15,0.26,(0.62%)
