Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,7.10%,-6.34,(-3.55%)
AAPL,Apple Inc.,6.32%,1.13,(0.45%)
MSFT,Microsoft,4.61%,-4.86,(-1.31%)
AMZN,Amazon,3.78%,-3.78,(-1.79%)
GOOGL,Alphabet Inc. (Class A),2.99%,-9.41,(-3.23%)
GOOG,Alphabet Inc. (Class C),2.79%,-8.14,(-2.81%)
AVGO,Broadcom,2.49%,-8.16,(-2.56%)
TSLA,"Tesla, Inc.",2.38%,-12.13,(-3.14%)
META,Meta Platforms,2.35%,-46.94,(-7.89%)
BRK.B,Berkshire Hathaway,1.74%,0.06,(0.01%)
WMT,Walmart,1.66%,-0.58,(-0.47%)
LLY,Lilly (Eli),1.36%,-18.02,(-1.97%)
JPM,JPMorgan Chase,1.34%,-2.82,(-0.95%)
XOM,ExxonMobil,1.17%,2.04,(1.25%)
V,Visa Inc.,1.00%,0.85,(0.28%)
JNJ,Johnson & Johnson,0.98%,0.24,(0.10%)
MA,Mastercard,0.76%,-0.36,(-0.07%)
COST,Costco,0.74%,4.14,(0.42%)
CVX,Chevron Corporation,0.70%,2.32,(1.13%)
ORCL,Oracle Corporation,0.70%,-3.18,(-2.17%)
MU,Micron Technology,0.68%,-24.59,(-6.44%)
NFLX,Netflix,0.67%,1.53,(1.66%)
ABBV,AbbVie,0.63%,3.45,(1.66%)
PLTR,Palantir Technologies,0.60%,-7.13,(-4.60%)
BAC,Bank of America,0.59%,-0.45,(-0.92%)
AMD,Advanced Micro Devices,0.57%,-15.43,(-7.00%)
PG,Procter & Gamble,0.56%,-0.77,(-0.54%)
CAT,Caterpillar Inc.,0.56%,-14.16,(-1.97%)
HD,Home Depot (The),0.55%,-4.13,(-1.24%)
CSCO,Cisco,0.55%,0.21,(0.26%)
KO,Coca-Cola Company (The),0.55%,-0.27,(-0.36%)
GE,GE Aerospace,0.51%,-10.56,(-3.56%)
MRK,Merck & Co.,0.50%,-0.35,(-0.29%)
AMAT,Applied Materials,0.46%,-27.74,(-7.51%)
LRCX,Lam Research,0.45%,-20.3,(-8.70%)
