Symbol,Name,Weight,Price,Chg,% Chg
NVDA,Nvidia,6.86%,171.39,-6.33,(-3.56%)
AAPL,Apple Inc.,6.61%,271.94,-2.67,(-0.97%)
MSFT,Microsoft,5.84%,476.97,0.58,(0.12%)
AMZN,Amazon,3.90%,221.74,-0.82,(-0.37%)
GOOGL,Alphabet Inc. (Class A),3.05%,296.6,-9.97,(-3.25%)
GOOG,Alphabet Inc. (Class C),2.85%,297.88,-9.85,(-3.20%)
META,Meta Platforms,2.70%,650.13,-7.02,(-1.07%)
TSLA,"Tesla, Inc.",2.56%,467.99,-21.89,(-4.47%)
AVGO,Broadcom,2.53%,325.56,-15.74,(-4.61%)
BRK.B,Berkshire Hathaway,1.79%,503.9,4.06,(0.81%)
LLY,Lilly (Eli),1.53%,1039.99,-14.3,(-1.36%)
WMT,Walmart,1.52%,115.6,0.18,(0.16%)
JPM,JPMorgan Chase,1.41%,315.26,-0.3,(-0.09%)
V,Visa Inc.,1.09%,344.34,-0.78,(-0.22%)
ORCL,Oracle Corporation,0.84%,178.57,-10.08,(-5.34%)
MA,Mastercard,0.84%,565.47,-0.55,(-0.10%)
JNJ,Johnson & Johnson,0.83%,210.3,1.0,(0.48%)
XOM,ExxonMobil,0.82%,117.47,2.78,(2.43%)
PLTR,Palantir Technologies,0.70%,177.93,-9.82,(-5.23%)
NFLX,Netflix,0.66%,94.53,-0.04,(-0.04%)
BAC,Bank of America,0.66%,54.59,-0.22,(-0.40%)
ABBV,AbbVie,0.66%,225.41,1.74,(0.78%)
COST,Costco,0.63%,862.65,2.26,(0.26%)
HD,Home Depot (The),0.58%,356.25,3.57,(1.01%)
PG,Procter & Gamble,0.57%,147.5,2.28,(1.57%)
AMD,Advanced Micro Devices,0.53%,198.57,-10.6,(-5.07%)
GE,GE Aerospace,0.51%,292.7,-6.03,(-2.02%)
KO,Coca-Cola Company (The),0.50%,70.71,0.34,(0.48%)
CSCO,Cisco,0.49%,76.06,-1.49,(-1.92%)
UNH,UnitedHealth Group,0.49%,330.93,-3.27,(-0.98%)
CVX,Chevron Corporation,0.49%,149.56,2.81,(1.91%)
WFC,Wells Fargo,0.48%,92.68,0.48,(0.53%)
IBM,IBM,0.47%,304.35,1.17,(0.38%)
MS,Morgan Stanley,0.46%,175.49,-1.02,(-0.58%)
MU,Micron Technology,0.44%,236.82,4.31,(1.85%)
CAT,Caterpillar Inc.,0.43%,562.85,-26.08,(-4.43%)
GS,Goldman Sachs,0.43%,873.3,-5.85,(-0.67%)
AXP,American Express,0.43%,376.43,-4.32,(-1.14%)
PM,Philip Morris International,0.41%,158.36,0.41,(0.26%)
MRK,Merck & Co.,0.41%,99.23,0.95,(0.97%)
CRM,Salesforce,0.40%,258.55,3.64,(1.43%)
RTX,RTX Corporation,0.39%,177.43,-2.5,(-1.39%)
MCD,McDonald's,0.37%,319.08,4.57,(1.45%)
TMUS,T-Mobile US,0.37%,199.45,1.45,(0.73%)
APP,AppLovin Corporation,0.37%,659.8,-17.5,(-2.58%)
ABT,Abbott Laboratories,0.36%,126.57,-0.3,(-0.23%)
TMO,Thermo Fisher Scientific,0.35%,562.97,-7.19,(-1.26%)
PEP,PepsiCo,0.34%,149.81,-0.56,(-0.38%)
C,Citigroup,0.33%,111.76,0.47,(0.43%)
AMAT,Applied Materials,0.33%,250.54,-8.3,(-3.21%)
ISRG,Intuitive Surgical,0.32%,556.65,2.06,(0.37%)
DIS,Walt Disney Company (The),0.32%,110.53,-1.09,(-0.98%)
LIN,Linde plc,0.32%,422.45,-1.06,(-0.25%)
LRCX,Lam Research,0.32%,156.37,-6.89,(-4.22%)
INTU,Intuit,0.31%,667.68,-1.67,(-0.25%)
QCOM,Qualcomm,0.30%,172.41,-3.72,(-2.11%)
ACN,Accenture,0.30%,274.55,2.51,(0.92%)
AMGN,Amgen,0.29%,326.18,-0.56,(-0.17%)
TJX,TJX Companies,0.29%,156.33,1.23,(0.80%)
BKNG,Booking Holdings,0.29%,5376.75,-60.18,(-1.11%)
T,AT&T,0.28%,24.36,0.29,(1.20%)
INTC,Intel,0.28%,36.15,-1.16,(-3.12%)
VZ,Verizon,0.28%,40.78,0.02,(0.06%)
SCHW,Charles Schwab Corporation,0.28%,95.78,-0.22,(-0.23%)
NEE,NextEra Energy,0.28%,80.53,-0.79,(-0.98%)
GEV,GE Vernova,0.28%,618.0,-68.22,(-9.94%)
BLK,BlackRock,0.27%,1065.13,-3.02,(-0.28%)
UBER,Uber,0.27%,79.22,-1.7,(-2.10%)
NOW,ServiceNow,0.27%,783.25,2.13,(0.27%)
BA,Boeing,0.27%,207.12,0.41,(0.20%)
TXN,Texas Instruments,0.26%,175.02,-2.55,(-1.43%)
DHR,Danaher Corporation,0.26%,223.98,-0.72,(-0.32%)
KLAC,KLA Corporation,0.26%,1184.06,-39.31,(-3.21%)
APH,Amphenol,0.26%,126.76,-2.37,(-1.84%)
ANET,Arista Networks,0.26%,123.05,-3.08,(-2.44%)
SPGI,S&P Global,0.25%,510.07,10.21,(2.04%)
COF,Capital One,0.25%,240.0,-1.61,(-0.67%)
GILD,Gilead Sciences,0.25%,121.68,2.9,(2.44%)
ADBE,Adobe Inc.,0.24%,355.08,7.19,(2.07%)
PFE,Pfizer,0.23%,25.07,-0.46,(-1.82%)
UNP,Union Pacific Corporation,0.23%,236.89,1.01,(0.43%)
BSX,Boston Scientific,0.23%,94.0,1.05,(1.12%)
LOW,Lowe's,0.23%,247.4,0.93,(0.38%)
SYK,Stryker Corporation,0.22%,352.59,0.9,(0.26%)
ADI,Analog Devices,0.22%,273.27,-5.13,(-1.84%)
PGR,Progressive Corporation,0.22%,226.3,-5.52,(-2.38%)
DE,Deere & Company,0.21%,482.67,-2.77,(-0.57%)
WELL,Welltower,0.21%,189.46,-0.94,(-0.49%)
PANW,Palo Alto Networks,0.21%,183.5,-3.59,(-1.92%)
HON,Honeywell,0.21%,200.31,2.05,(1.03%)
MDT,Medtronic,0.21%,98.43,0.7,(0.72%)
ETN,Eaton Corporation,0.20%,316.91,-13.03,(-3.95%)
CB,Chubb Limited,0.20%,312.07,1.02,(0.33%)
CRWD,CrowdStrike,0.20%,471.75,-16.78,(-3.43%)
PLD,Prologis,0.20%,127.72,0.11,(0.09%)
KKR,KKR,0.19%,132.16,-1.22,(-0.92%)
BX,Blackstone Inc.,0.19%,152.27,0.17,(0.12%)
COP,ConocoPhillips,0.19%,94.85,4.08,(4.49%)
VRTX,Vertex Pharmaceuticals,0.19%,450.68,-4.28,(-0.94%)
CMCSA,Comcast,0.18%,30.39,0.66,(2.22%)
PH,Parker Hannifin,0.18%,873.5,-0.99,(-0.11%)
BMY,Bristol Myers Squibb,0.18%,54.0,-0.23,(-0.43%)
LMT,Lockheed Martin,0.18%,474.09,-2.97,(-0.62%)
CEG,Constellation Energy,0.18%,349.5,-16.13,(-4.41%)
NEM,Newmont,0.18%,99.24,1.21,(1.23%)
HCA,HCA Healthcare,0.18%,471.9,2.1,(0.45%)
ADP,Automatic Data Processing,0.18%,265.37,3.19,(1.22%)
HOOD,"Robinhood Markets, Inc.",0.17%,115.98,-3.42,(-2.87%)
MCK,McKesson Corporation,0.16%,806.47,-3.5,(-0.43%)
MO,Altria,0.16%,59.12,-0.21,(-0.35%)
CME,CME Group,0.16%,274.4,1.45,(0.53%)
CVS,CVS Health,0.16%,77.74,-0.55,(-0.70%)
