Symbol,Name,Weight,Price,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.46%,901.54,2.54,(0.28%)
CAT,Caterpillar Inc.,7.42%,584.0,1.59,(0.27%)
MSFT,Microsoft Corporation,6.20%,487.38,2.46,(0.51%)
AXP,American Express Company,4.86%,382.71,1.86,(0.49%)
V,Visa Inc.,4.50%,353.83,1.74,(0.49%)
HD,"The Home Depot, Inc.",4.39%,345.21,-1.18,(-0.34%)
AMGN,Amgen Inc.,4.21%,330.82,-0.57,(-0.17%)
JPM,JPMorgan Chase & Co.,4.14%,325.76,2.67,(0.83%)
UNH,UnitedHealth Group Incorporated,4.13%,324.88,-0.28,(-0.09%)
SHW,Sherwin-Williams,4.10%,322.69,-1.15,(-0.36%)
MCD,McDonald's Corporation,3.95%,311.14,-5.08,(-1.61%)
IBM,International Business Machines Corporation,3.85%,303.0,0.21,(0.07%)
TRV,"The Travelers Companies, Inc.",3.71%,292.04,0.4,(0.14%)
AAPL,Apple Inc.,3.46%,272.06,1.09,(0.40%)
CRM,"Salesforce, Inc.",3.35%,263.84,-0.79,(-0.30%)
AMZN,"Amazon.com, Inc.amazon.com",2.95%,232.21,3.78,(1.65%)
BA,The Boeing Company,2.76%,217.17,0.32,(0.15%)
JNJ,Johnson & Johnson,2.61%,205.22,-2.1,(-1.01%)
HON,Honeywell International Inc.,2.48%,195.12,-0.84,(-0.43%)
NVDA,Nvidia,2.40%,189.12,5.43,(2.96%)
MMM,3M Company,2.04%,160.11,0.11,(0.07%)
CVX,Chevron Corporation,1.91%,150.62,0.82,(0.55%)
PG,The Procter & Gamble Company,1.82%,143.33,0.64,(0.45%)
DIS,The Walt Disney Company,1.43%,112.87,0.49,(0.44%)
WMT,Walmart Inc.,1.41%,110.84,-1.76,(-1.57%)
MRK,"Merck & Co., Inc.",1.33%,104.79,0.06,(0.06%)
CSCO,"Cisco Systems, Inc.",0.99%,77.69,-0.42,(-0.54%)
KO,The Coca-Cola Company,0.89%,69.9,-0.31,(-0.45%)
NKE,"Nike, Inc.",0.73%,57.26,0.04,(0.06%)
VZ,Verizon Communications Inc.,0.51%,39.95,-0.03,(-0.09%)
