Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.34%,14.76,(1.65%)
CAT,Caterpillar Inc.,9.60%,11.66,(1.54%)
HD,"The Home Depot, Inc.",4.85%,11.05,(2.93%)
MSFT,Microsoft Corporation,4.84%,2.26,(0.59%)
AMGN,Amgen Inc.,4.77%,1.97,(0.52%)
SHW,Sherwin-Williams,4.57%,1.29,(0.36%)
MCD,McDonald's Corporation,4.16%,-1.46,(-0.44%)
AXP,American Express Company,4.02%,0.28,(0.09%)
V,Visa Inc.,3.84%,0.46,(0.15%)
TRV,"The Travelers Companies, Inc.",3.80%,-1.39,(-0.45%)
JPM,JPMorgan Chase & Co.,3.73%,0.78,(0.26%)
UNH,UnitedHealth Group Incorporated,3.44%,-7.39,(-2.62%)
AAPL,Apple Inc.,3.41%,6.17,(2.32%)
JNJ,Johnson & Johnson,3.08%,0.84,(0.34%)
HON,Honeywell International Inc.,3.05%,0.89,(0.37%)
BA,The Boeing Company,2.92%,2.79,(1.21%)
IBM,International Business Machines Corporation,2.87%,5.91,(2.65%)
AMZN,"Amazon.com, Inc.amazon.com",2.62%,3.91,(1.91%)
NVDA,Nvidia,2.42%,1.72,(0.90%)
CRM,"Salesforce, Inc.",2.32%,7.6,(4.27%)
CVX,Chevron Corporation,2.32%,0.58,(0.31%)
MMM,3M Company,2.09%,0.72,(0.43%)
PG,The Procter & Gamble Company,2.07%,0.2,(0.12%)
WMT,Walmart Inc.,1.59%,1.33,(1.06%)
MRK,"Merck & Co., Inc.",1.56%,0.8,(0.65%)
DIS,The Walt Disney Company,1.33%,1.99,(1.90%)
KO,The Coca-Cola Company,1.01%,-0.11,(-0.13%)
CSCO,"Cisco Systems, Inc.",0.98%,0.53,(0.68%)
NKE,"Nike, Inc.",0.80%,0.92,(1.46%)
VZ,Verizon Communications Inc.,0.62%,-0.24,(-0.49%)
