Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,7.19%,1.99,(1.12%)
AAPL,Apple Inc.,6.21%,-0.2,(-0.08%)
MSFT,Microsoft,4.95%,-3.75,(-0.92%)
AMZN,Amazon,3.70%,-3.62,(-1.70%)
GOOGL,Alphabet Inc. (Class A),3.10%,2.54,(0.85%)
GOOG,Alphabet Inc. (Class C),2.89%,2.57,(0.86%)
AVGO,Broadcom,2.68%,13.27,(4.01%)
META,Meta Platforms,2.64%,-10.34,(-1.60%)
TSLA,"Tesla, Inc.",2.41%,-5.59,(-1.41%)
BRK.B,Berkshire Hathaway,1.75%,-5.73,(-1.15%)
WMT,Walmart,1.61%,-0.8,(-0.65%)
LLY,Lilly (Eli),1.47%,7.36,(0.74%)
JPM,JPMorgan Chase,1.26%,-4.49,(-1.55%)
XOM,ExxonMobil,1.04%,0.73,(0.48%)
V,Visa Inc.,0.99%,-5.24,(-1.65%)
JNJ,Johnson & Johnson,0.96%,1.46,(0.61%)
MA,Mastercard,0.75%,-10.63,(-2.03%)
COST,Costco,0.73%,2.46,(0.25%)
ORCL,Oracle Corporation,0.70%,-4.08,(-2.67%)
MU,Micron Technology,0.70%,7.63,(2.06%)
NFLX,Netflix,0.68%,-1.46,(-1.48%)
ABBV,AbbVie,0.66%,-4.13,(-1.79%)
CVX,Chevron Corporation,0.62%,0.58,(0.31%)
PLTR,Palantir Technologies,0.61%,-2.3,(-1.46%)
PG,Procter & Gamble,0.59%,0.9,(0.59%)
HD,Home Depot (The),0.57%,-8.71,(-2.43%)
BAC,Bank of America,0.55%,-1.77,(-3.64%)
KO,Coca-Cola Company (The),0.55%,0.36,(0.47%)
GE,GE Aerospace,0.55%,-6.82,(-2.11%)
CAT,Caterpillar Inc.,0.53%,11.12,(1.63%)
AMD,Advanced Micro Devices,0.53%,4.73,(2.46%)
CSCO,Cisco,0.49%,-2.92,(-3.71%)
MRK,Merck & Co.,0.47%,0.08,(0.07%)
RTX,RTX Corporation,0.46%,-0.66,(-0.31%)
PM,Philip Morris International,0.44%,1.58,(0.93%)
AMAT,Applied Materials,0.43%,2.91,(0.90%)
LRCX,Lam Research,0.42%,5.1,(2.56%)
UNH,UnitedHealth Group,0.42%,-5.31,(-1.85%)
MS,Morgan Stanley,0.41%,-2.87,(-1.79%)
TMUS,T-Mobile US,0.40%,-2.78,(-1.25%)
GS,Goldman Sachs,0.40%,-10.84,(-1.32%)
WFC,Wells Fargo,0.39%,-3.27,(-4.06%)
IBM,IBM,0.39%,-5.92,(-2.29%)
MCD,McDonald's,0.39%,1.07,(0.33%)
LIN,Linde plc,0.37%,-2.64,(-0.54%)
INTC,Intel,0.36%,1.01,(2.32%)
PEP,PepsiCo,0.36%,1.27,(0.80%)
GEV,GE Vernova,0.36%,23.54,(2.98%)
VZ,Verizon,0.35%,-0.22,(-0.43%)
AXP,American Express,0.34%,-2.1,(-0.70%)
AMGN,Amgen,0.33%,3.94,(1.07%)
ABT,Abbott Laboratories,0.32%,2.3,(2.10%)
T,AT&T,0.32%,-0.89,(-3.11%)
NEE,NextEra Energy,0.31%,0.21,(0.23%)
TMO,Thermo Fisher Scientific,0.31%,-0.31,(-0.06%)
KLAC,KLA Corporation,0.30%,49.25,(3.66%)
CRM,Salesforce,0.30%,-4.9,(-2.42%)
C,Citigroup,0.30%,-3.03,(-2.84%)
GILD,Gilead Sciences,0.30%,1.24,(0.86%)
DIS,Walt Disney Company (The),0.29%,-1.44,(-1.42%)
BA,Boeing,0.29%,-6.94,(-3.00%)
TXN,Texas Instruments,0.29%,-0.18,(-0.09%)
TJX,TJX Companies,0.29%,-2.19,(-1.37%)
ISRG,Intuitive Surgical,0.28%,-3.66,(-0.75%)
APP,AppLovin Corporation,0.28%,7.79,(1.55%)
ANET,Arista Networks,0.28%,1.39,(1.04%)
APH,Amphenol,0.27%,2.27,(1.72%)
SCHW,Charles Schwab Corporation,0.27%,-1.77,(-1.86%)
DE,Deere & Company,0.26%,1.45,(0.25%)
LMT,Lockheed Martin,0.25%,-0.5,(-0.07%)
ADI,Analog Devices,0.25%,-2.86,(-0.91%)
PFE,Pfizer,0.25%,-0.46,(-1.72%)
UBER,Uber,0.25%,-1.86,(-2.47%)
HON,Honeywell,0.25%,0.68,(0.29%)
UNP,Union Pacific Corporation,0.24%,-3.19,(-1.26%)
BLK,BlackRock,0.24%,-10.46,(-1.10%)
QCOM,Qualcomm,0.24%,0.35,(0.26%)
WELL,Welltower,0.24%,2.77,(1.36%)
COP,ConocoPhillips,0.24%,0.94,(0.80%)
DHR,Danaher Corporation,0.23%,1.26,(0.64%)
BKNG,Booking Holdings,0.23%,-165.75,(-3.64%)
SYK,Stryker Corporation,0.23%,-2.01,(-0.55%)
LOW,Lowe's,0.23%,-5.02,(-1.99%)
ETN,Eaton Corporation,0.22%,1.22,(0.35%)
PANW,Palo Alto Networks,0.22%,-0.31,(-0.19%)
SPGI,S&P Global,0.22%,-9.11,(-2.01%)
INTU,Intuit,0.21%,-9.59,(-1.99%)
NOW,ServiceNow,0.21%,-2.23,(-1.80%)
ACN,Accenture,0.21%,-8.04,(-3.74%)
CB,Chubb Limited,0.21%,-5.23,(-1.59%)
NEM,Newmont,0.20%,-2.17,(-1.86%)
PLD,Prologis,0.20%,-1.28,(-0.95%)
BMY,Bristol Myers Squibb,0.20%,-0.32,(-0.53%)
PGR,Progressive Corporation,0.20%,-4.42,(-2.10%)
HCA,HCA Healthcare,0.20%,6.5,(1.22%)
MDT,Medtronic,0.19%,0.06,(0.07%)
PH,Parker Hannifin,0.19%,-6.37,(-0.69%)
VRTX,Vertex Pharmaceuticals,0.19%,-3.27,(-0.72%)
ADBE,Adobe Inc.,0.19%,-3.08,(-1.09%)
CEG,Constellation Energy,0.19%,-1.25,(-0.39%)
CME,CME Group,0.19%,0.7,(0.22%)
MCK,McKesson Corporation,0.19%,10.83,(1.18%)
COF,Capital One,0.19%,-6.7,(-3.57%)
SBUX,Starbucks,0.18%,-0.31,(-0.32%)
MO,Altria,0.18%,0.18,(0.27%)
CMCSA,Comcast,0.18%,-1.14,(-3.58%)
SO,Southern Company,0.18%,-0.32,(-0.33%)
CRWD,CrowdStrike,0.18%,1.77,(0.41%)
GLW,Corning Inc.,0.18%,1.85,(1.50%)
NOC,Northrop Grumman,0.18%,-1.95,(-0.26%)
BSX,Boston Scientific,0.18%,0.44,(0.62%)
DUK,Duke Energy,0.17%,-1.19,(-0.90%)
HWM,Howmet Aerospace,0.17%,0.68,(0.27%)
WM,Waste Management,0.16%,0.38,(0.16%)
CVS,CVS Health,0.16%,-0.31,(-0.39%)
GD,General Dynamics,0.16%,-3.68,(-1.01%)
DELL,Dell Technologies,0.16%,-3.65,(-2.49%)
ICE,Intercontinental Exchange,0.15%,-0.68,(-0.41%)
TT,Trane Technologies,0.15%,-1.47,(-0.35%)
EQIX,Equinix,0.15%,2.54,(0.27%)
ADP,Automatic Data Processing,0.15%,-3.34,(-1.48%)
WMB,Williams Companies,0.15%,-1.13,(-1.52%)
AMT,American Tower,0.14%,-1.25,(-0.66%)
WDC,Western Digital,0.14%,11.57,(4.72%)
MRSH,"Marsh & McLennan Companies, Inc.",0.14%,-3.71,(-2.02%)
BX,Blackstone Inc.,0.14%,-1.03,(-0.93%)
MAR,Marriott International,0.14%,-2.51,(-0.78%)
FCX,Freeport-McMoRan,0.14%,-0.96,(-1.62%)
UPS,United Parcel Service,0.14%,-4.02,(-3.93%)
FDX,FedEx,0.14%,-5.06,(-1.41%)
SNDK,Sandisk Corporation,0.14%,35.74,(6.78%)
PWR,Quanta Services,0.14%,15.28,(2.83%)
SNPS,Synopsys,0.14%,-4.07,(-0.93%)
NKE,"Nike, Inc.",0.14%,-1.12,(-1.96%)
REGN,Regeneron Pharmaceuticals,0.13%,14.22,(1.87%)
STX,Seagate Technology,0.13%,10.66,(3.02%)
CDNS,Cadence Design Systems,0.13%,-3.11,(-1.05%)
MCO,Moody's Corporation,0.13%,-15.05,(-3.19%)
JCI,Johnson Controls,0.13%,-0.22,(-0.16%)
PNC,PNC Financial Services,0.13%,-5.89,(-2.86%)
SHW,Sherwin-Williams,0.13%,-4.52,(-1.37%)
CTAS,Cintas,0.13%,-3.51,(-1.72%)
KKR,KKR,0.13%,-2.16,(-2.36%)
USB,U.S. Bancorp,0.13%,-1.35,(-2.58%)
MMM,3M,0.13%,-3.23,(-2.11%)
ORLY,O'Reilly Auto Parts,0.13%,-0.27,(-0.29%)
ABNB,Airbnb,0.13%,-1.67,(-1.26%)
ITW,Illinois Tool Works,0.13%,-3.51,(-1.26%)
ECL,Ecolab,0.13%,-3.62,(-1.28%)
EMR,Emerson Electric,0.13%,0.29,(0.21%)
BK,BNY Mellon,0.13%,-2.01,(-1.74%)
DASH,DoorDash,0.12%,-5.77,(-3.22%)
MSI,Motorola Solutions,0.12%,-6.15,(-1.33%)
RCL,Royal Caribbean Group,0.12%,-1.34,(-0.48%)
CMI,Cummins,0.12%,1.12,(0.21%)
MDLZ,Mondelez International,0.12%,-0.21,(-0.36%)
CSX,CSX Corporation,0.12%,0.09,(0.24%)
CL,Colgate-Palmolive,0.12%,-0.86,(-0.92%)
KMI,Kinder Morgan,0.12%,-0.2,(-0.58%)
MNST,Monster Beverage,0.12%,-1.26,(-1.67%)
TDG,TransDigm Group,0.12%,-22.23,(-1.72%)
EOG,EOG Resources,0.12%,1.8,(1.37%)
AON,Aon,0.12%,-7.61,(-2.23%)
RSG,Republic Services,0.12%,-0.57,(-0.24%)
AEP,American Electric Power,0.12%,-0.31,(-0.24%)
CI,Cigna,0.12%,-4.35,(-1.60%)
COR,Cencora,0.11%,0.93,(0.26%)
CRH,CRH plc,0.11%,-2.24,(-2.11%)
HOOD,"Robinhood Markets, Inc.",0.11%,0.13,(0.17%)
LHX,L3Harris,0.11%,5.15,(1.40%)
SLB,Schlumberger,0.11%,-0.66,(-1.41%)
WBD,Warner Bros. Discovery,0.11%,-0.2,(-0.70%)
HLT,Hilton Worldwide,0.11%,-0.15,(-0.05%)
ROST,Ross Stores,0.11%,-2.81,(-1.33%)
NSC,Norfolk Southern Railway,0.11%,-4.0,(-1.32%)
GM,General Motors,0.11%,-2.13,(-2.83%)
