Symbol,Name,Weight,Chg,% Chg
BSX,Boston Scientific,0.17%,0.14,(0.21%)
CVS,CVS Health,0.16%,0.79,(1.04%)
DELL,Dell Technologies,0.16%,-2.63,(-1.76%)
WM,Waste Management,0.16%,-0.74,(-0.31%)
GD,General Dynamics,0.16%,-3.97,(-1.12%)
EQIX,Equinix,0.16%,-5.62,(-0.58%)
HWM,Howmet Aerospace,0.16%,-9.12,(-3.74%)
TT,Trane Technologies,0.15%,-2.73,(-0.65%)
SNDK,Sandisk Corporation,0.15%,7.45,(1.20%)
WDC,Western Digital,0.15%,6.22,(2.38%)
ICE,Intercontinental Exchange,0.15%,0.54,(0.34%)
WMB,Williams Companies,0.15%,0.01,(0.01%)
STX,Seagate Technology,0.14%,8.43,(2.26%)
AMT,American Tower,0.14%,2.83,(1.57%)
PWR,Quanta Services,0.14%,-1.97,(-0.35%)
MAR,Marriott International,0.14%,1.82,(0.58%)
BX,Blackstone Inc.,0.14%,5.0,(4.90%)
ADP,Automatic Data Processing,0.14%,0.48,(0.23%)
MRSH,"Marsh & McLennan Companies, Inc.",0.14%,1.31,(0.77%)
UPS,United Parcel Service,0.14%,-0.11,(-0.11%)
FDX,FedEx,0.14%,-2.0,(-0.57%)
PNC,PNC Financial Services,0.14%,1.92,(0.95%)
FCX,Freeport-McMoRan,0.14%,-2.45,(-4.14%)
BK,BNY Mellon,0.13%,0.47,(0.40%)
USB,U.S. Bancorp,0.13%,0.51,(0.98%)
NKE,"Nike, Inc.",0.13%,-0.05,(-0.08%)
SHW,Sherwin-Williams,0.13%,4.79,(1.51%)
MMM,3M,0.13%,1.92,(1.29%)
JCI,Johnson Controls,0.13%,-1.43,(-1.10%)
REGN,Regeneron Pharmaceuticals,0.13%,1.15,(0.15%)
SNPS,Synopsys,0.13%,-6.93,(-1.65%)
CDNS,Cadence Design Systems,0.13%,-5.87,(-2.02%)
MSI,Motorola Solutions,0.13%,10.46,(2.26%)
ECL,Ecolab,0.13%,0.21,(0.08%)
CTAS,Cintas,0.13%,0.55,(0.28%)
ITW,Illinois Tool Works,0.13%,1.17,(0.44%)
ORLY,O'Reilly Auto Parts,0.13%,-1.47,(-1.58%)
KKR,KKR,0.13%,2.18,(2.60%)
MCO,Moody's Corporation,0.13%,3.29,(0.77%)
ABNB,Airbnb,0.13%,-0.68,(-0.53%)
MNST,Monster Beverage,0.12%,-0.24,(-0.31%)
EMR,Emerson Electric,0.12%,0.93,(0.70%)
