Symbol,Name,Weight,Price,Chg,% Chg
NVDA,Nvidia,7.13%,184.96,-0.08,(-0.04%)
AAPL,Apple Inc.,6.08%,259.09,0.05,(0.02%)
MSFT,Microsoft,5.65%,479.23,1.12,(0.23%)
AMZN,Amazon,4.19%,247.26,0.97,(0.39%)
GOOGL,Alphabet Inc. (Class A),3.26%,328.72,3.28,(1.01%)
GOOG,Alphabet Inc. (Class C),3.04%,329.37,3.36,(1.03%)
META,Meta Platforms,2.61%,652.68,6.62,(1.02%)
AVGO,Broadcom,2.59%,344.46,11.97,(3.60%)
TSLA,"Tesla, Inc.",2.35%,445.09,9.28,(2.13%)
BRK.B,Berkshire Hathaway,1.71%,499.18,-0.59,(-0.12%)
LLY,Lilly (Eli),1.51%,1064.5,-20.69,(-1.91%)
WMT,Walmart,1.45%,114.58,1.51,(1.33%)
JPM,JPMorgan Chase,1.42%,329.25,-0.55,(-0.17%)
V,Visa Inc.,1.07%,349.74,-2.49,(-0.71%)
ORCL,Oracle Corporation,0.90%,197.93,8.28,(4.36%)
XOM,ExxonMobil,0.83%,124.4,1.49,(1.21%)
MA,Mastercard,0.82%,575.68,-4.4,(-0.76%)
JNJ,Johnson & Johnson,0.78%,204.91,-0.84,(-0.41%)
PLTR,Palantir Technologies,0.67%,177.37,0.51,(0.29%)
BAC,Bank of America,0.67%,55.83,-0.35,(-0.63%)
COST,Costco,0.65%,923.98,8.67,(0.95%)
ABBV,AbbVie,0.62%,220.5,-3.63,(-1.62%)
MU,Micron Technology,0.62%,345.05,18.03,(5.51%)
NFLX,Netflix,0.60%,89.15,-1.38,(-1.53%)
HD,Home Depot (The),0.59%,374.25,14.69,(4.08%)
GE,GE Aerospace,0.54%,321.77,7.32,(2.33%)
PG,Procter & Gamble,0.53%,141.99,0.46,(0.33%)
AMD,Advanced Micro Devices,0.53%,203.23,-1.45,(-0.71%)
CVX,Chevron Corporation,0.52%,162.34,3.09,(1.94%)
UNH,UnitedHealth Group,0.49%,343.89,-2.96,(-0.85%)
KO,Coca-Cola Company (The),0.48%,70.47,1.09,(1.58%)
WFC,Wells Fargo,0.48%,95.89,0.29,(0.30%)
MS,Morgan Stanley,0.47%,186.16,1.48,(0.80%)
CSCO,Cisco,0.46%,74.06,0.1,(0.14%)
CAT,Caterpillar Inc.,0.46%,617.38,9.25,(1.52%)
IBM,IBM,0.45%,303.64,0.92,(0.30%)
GS,Goldman Sachs,0.45%,938.7,3.87,(0.41%)
MRK,Merck & Co.,0.44%,110.6,-0.39,(-0.36%)
LRCX,Lam Research,0.44%,218.4,17.44,(8.68%)
AXP,American Express,0.41%,376.06,-6.92,(-1.81%)
PM,Philip Morris International,0.40%,162.43,3.62,(2.28%)
RTX,RTX Corporation,0.40%,188.51,1.34,(0.71%)
CRM,Salesforce,0.39%,259.64,-0.89,(-0.34%)
AMAT,Applied Materials,0.38%,301.45,19.81,(7.03%)
TMO,Thermo Fisher Scientific,0.36%,608.35,1.85,(0.31%)
TMUS,T-Mobile US,0.36%,200.47,2.56,(1.29%)
ABT,Abbott Laboratories,0.35%,125.94,-0.25,(-0.19%)
APP,AppLovin Corporation,0.35%,647.92,31.39,(5.09%)
MCD,McDonald's,0.35%,306.45,-2.43,(-0.79%)
C,Citigroup,0.34%,121.39,0.79,(0.65%)
INTC,Intel,0.34%,45.53,4.42,(10.75%)
ISRG,Intuitive Surgical,0.33%,585.6,0.51,(0.09%)
LIN,Linde plc,0.33%,444.05,4.36,(0.99%)
DIS,Walt Disney Company (The),0.33%,115.9,1.72,(1.51%)
PEP,PepsiCo,0.30%,139.95,0.57,(0.41%)
QCOM,Qualcomm,0.30%,177.92,-3.96,(-2.17%)
KLAC,KLA Corporation,0.29%,1398.49,73.89,(5.58%)
BA,Boeing,0.29%,234.13,6.75,(2.97%)
INTU,Intuit,0.29%,647.5,-5.25,(-0.80%)
SCHW,Charles Schwab Corporation,0.28%,100.24,-1.11,(-1.09%)
UBER,Uber,0.28%,85.38,-2.22,(-2.53%)
BKNG,Booking Holdings,0.28%,5491.04,46.03,(0.85%)
AMGN,Amgen,0.28%,326.18,-3.94,(-1.19%)
TJX,TJX Companies,0.28%,157.83,-0.42,(-0.27%)
ACN,Accenture,0.27%,280.66,-1.16,(-0.41%)
TXN,Texas Instruments,0.27%,189.6,1.15,(0.61%)
APH,Amphenol,0.27%,140.15,3.9,(2.86%)
VZ,Verizon,0.27%,40.54,-0.04,(-0.09%)
T,AT&T,0.27%,24.02,-0.15,(-0.62%)
GEV,GE Vernova,0.27%,623.03,-5.38,(-0.86%)
DHR,Danaher Corporation,0.27%,238.36,3.35,(1.43%)
BLK,BlackRock,0.27%,1084.5,-3.42,(-0.31%)
NEE,NextEra Energy,0.26%,79.93,0.44,(0.55%)
SPGI,S&P Global,0.26%,537.46,-4.1,(-0.76%)
COF,Capital One,0.25%,249.63,-6.06,(-2.37%)
ANET,Arista Networks,0.25%,123.05,-0.67,(-0.54%)
GILD,Gilead Sciences,0.24%,121.43,0.75,(0.63%)
LOW,Lowe's,0.24%,267.63,11.42,(4.46%)
NOW,ServiceNow,0.24%,141.86,-4.33,(-2.96%)
ADI,Analog Devices,0.24%,303.49,4.33,(1.45%)
BSX,Boston Scientific,0.23%,98.45,0.06,(0.07%)
PFE,Pfizer,0.23%,25.47,0.18,(0.71%)
SYK,Stryker Corporation,0.22%,367.52,0.31,(0.08%)
ADBE,Adobe Inc.,0.22%,333.58,-5.47,(-1.61%)
UNP,Union Pacific Corporation,0.22%,228.7,-1.15,(-0.50%)
DE,Deere & Company,0.21%,489.61,-11.19,(-2.24%)
HON,Honeywell,0.21%,207.67,2.42,(1.18%)
PANW,Palo Alto Networks,0.21%,188.98,-1.82,(-0.95%)
WELL,Welltower,0.20%,184.94,-1.37,(-0.74%)
PGR,Progressive Corporation,0.20%,215.91,2.76,(1.29%)
ETN,Eaton Corporation,0.20%,325.01,4.43,(1.38%)
LMT,Lockheed Martin,0.20%,543.15,24.71,(4.77%)
MDT,Medtronic,0.20%,97.68,-1.02,(-1.03%)
BX,Blackstone Inc.,0.19%,157.72,2.42,(1.56%)
CB,Chubb Limited,0.19%,309.14,-3.87,(-1.23%)
COP,ConocoPhillips,0.19%,97.45,-1.27,(-1.29%)
PLD,Prologis,0.19%,129.41,1.02,(0.79%)
KKR,KKR,0.19%,134.65,1.01,(0.75%)
NEM,Newmont,0.19%,109.02,2.13,(1.99%)
CRWD,CrowdStrike,0.19%,470.3,6.43,(1.39%)
VRTX,Vertex Pharmaceuticals,0.19%,464.8,-4.88,(-1.04%)
PH,Parker Hannifin,0.18%,921.15,14.68,(1.62%)
BMY,Bristol Myers Squibb,0.18%,55.84,-0.06,(-0.11%)
HCA,HCA Healthcare,0.17%,475.25,-3.77,(-0.79%)
ADP,Automatic Data Processing,0.17%,266.5,0.83,(0.31%)
CEG,Constellation Energy,0.17%,341.88,19.33,(5.99%)
HOOD,"Robinhood Markets, Inc.",0.16%,115.46,0.07,(0.06%)
CMCSA,Comcast,0.16%,28.43,0.22,(0.78%)
CVS,CVS Health,0.16%,80.2,-0.41,(-0.50%)
SBUX,Starbucks,0.16%,88.74,0.56,(0.64%)
MCK,McKesson Corporation,0.16%,816.18,1.54,(0.19%)
SNPS,Synopsys,0.16%,524.03,9.54,(1.85%)
NKE,"Nike, Inc.",0.16%,65.99,0.73,(1.12%)
MO,Altria,0.15%,57.5,1.59,(2.85%)
GD,General Dynamics,0.15%,356.02,4.58,(1.30%)
SO,Southern Company,0.15%,86.55,-0.67,(-0.77%)
CME,CME Group,0.15%,263.0,-3.64,(-1.37%)
MCO,Moody's Corporation,0.15%,531.51,0.34,(0.06%)
ICE,Intercontinental Exchange,0.15%,164.14,2.16,(1.33%)
DASH,DoorDash,0.15%,215.52,-8.58,(-3.83%)
UPS,United Parcel Service,0.15%,108.19,1.22,(1.14%)
MMC,Marsh McLennan,0.14%,185.96,-0.94,(-0.50%)
DUK,Duke Energy,0.14%,117.1,-0.22,(-0.19%)
WM,Waste Management,0.14%,221.13,3.27,(1.50%)
CDNS,Cadence Design Systems,0.14%,326.8,8.0,(2.51%)
CRH,CRH plc,0.14%,132.43,7.78,(6.24%)
NOC,Northrop Grumman,0.14%,618.76,27.97,(4.73%)
HWM,Howmet Aerospace,0.14%,219.01,8.99,(4.28%)
MAR,Marriott International,0.14%,328.06,3.14,(0.97%)
MMM,3M,0.14%,165.06,-0.19,(-0.11%)
SHW,Sherwin-Williams,0.14%,350.26,9.23,(2.71%)
USB,U.S. Bancorp,0.14%,55.09,-0.45,(-0.80%)
