Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.25%,-0.35,(-0.04%)
CAT,Caterpillar Inc.,9.63%,15.71,(2.07%)
MSFT,Microsoft Corporation,4.98%,-1.27,(-0.32%)
HD,"The Home Depot, Inc.",4.86%,0.4,(0.10%)
SHW,Sherwin-Williams,4.59%,-3.65,(-0.98%)
AMGN,Amgen Inc.,4.59%,2.4,(0.65%)
AXP,American Express Company,4.21%,-4.64,(-1.35%)
MCD,McDonald's Corporation,4.08%,-4.43,(-1.33%)
V,Visa Inc.,3.91%,-9.88,(-3.05%)
JPM,JPMorgan Chase & Co.,3.77%,0.09,(0.03%)
TRV,"The Travelers Companies, Inc.",3.67%,-2.74,(-0.92%)
UNH,UnitedHealth Group Incorporated,3.64%,8.07,(2.84%)
IBM,International Business Machines Corporation,3.26%,2.78,(1.07%)
AAPL,Apple Inc.,3.18%,-6.39,(-2.44%)
JNJ,Johnson & Johnson,3.03%,-0.67,(-0.27%)
HON,Honeywell International Inc.,3.02%,3.17,(1.32%)
BA,The Boeing Company,3.02%,3.28,(1.37%)
AMZN,"Amazon.com, Inc.amazon.com",2.47%,-0.84,(-0.42%)
CRM,"Salesforce, Inc.",2.36%,4.02,(2.17%)
CVX,Chevron Corporation,2.28%,1.1,(0.60%)
NVDA,Nvidia,2.28%,-3.93,(-2.10%)
MMM,3M Company,2.12%,-4.06,(-2.33%)
PG,The Procter & Gamble Company,1.99%,-0.9,(-0.56%)
WMT,Walmart Inc.,1.67%,0.31,(0.23%)
MRK,"Merck & Co., Inc.",1.51%,1.77,(1.48%)
DIS,The Walt Disney Company,1.31%,2.98,(2.92%)
KO,The Coca-Cola Company,0.98%,-0.17,(-0.22%)
CSCO,"Cisco Systems, Inc.",0.95%,1.69,(2.26%)
NKE,"Nike, Inc.",0.78%,1.9,(3.11%)
VZ,Verizon Communications Inc.,0.61%,-0.48,(-0.98%)
