Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.90%,20.55,(2.20%)
CAT,Caterpillar Inc.,8.09%,9.23,(1.45%)
MSFT,Microsoft Corporation,5.73%,-0.05,(-0.01%)
HD,"The Home Depot, Inc.",4.70%,0.69,(0.18%)
AXP,American Express Company,4.49%,1.16,(0.32%)
SHW,Sherwin-Williams,4.45%,2.02,(0.57%)
UNH,UnitedHealth Group Incorporated,4.13%,-3.78,(-1.13%)
V,Visa Inc.,4.12%,1.13,(0.34%)
AMGN,Amgen Inc.,4.08%,-1.95,(-0.59%)
JPM,JPMorgan Chase & Co.,3.89%,3.51,(1.14%)
IBM,International Business Machines Corporation,3.86%,0.2,(0.06%)
MCD,McDonald's Corporation,3.79%,-4.16,(-1.35%)
TRV,"The Travelers Companies, Inc.",3.41%,0.73,(0.27%)
AAPL,Apple Inc.,3.25%,0.38,(0.14%)
BA,The Boeing Company,3.08%,3.81,(1.57%)
AMZN,"Amazon.com, Inc.amazon.com",2.96%,0.55,(0.23%)
CRM,"Salesforce, Inc.",2.94%,-3.87,(-1.62%)
JNJ,Johnson & Johnson,2.72%,-0.91,(-0.42%)
HON,Honeywell International Inc.,2.65%,-0.85,(-0.40%)
NVDA,Nvidia,2.35%,5.27,(2.87%)
MMM,3M Company,2.14%,1.77,(1.04%)
CVX,Chevron Corporation,2.07%,-0.98,(-0.58%)
PG,The Procter & Gamble Company,1.80%,-1.74,(-1.19%)
WMT,Walmart Inc.,1.51%,0.61,(0.51%)
DIS,The Walt Disney Company,1.40%,-1.08,(-0.95%)
MRK,"Merck & Co., Inc.",1.36%,-2.07,(-1.86%)
CSCO,"Cisco Systems, Inc.",0.94%,1.15,(1.54%)
KO,The Coca-Cola Company,0.89%,-0.28,(-0.39%)
NKE,"Nike, Inc.",0.81%,-0.89,(-1.36%)
VZ,Verizon Communications Inc.,0.49%,-0.48,(-1.22%)
