Symbol,Name,Weight,Price,Chg,% Chg
NVDA,Nvidia,7.22%,184.09,3.1,(1.71%)
AAPL,Apple Inc.,6.52%,273.4,-0.27,(-0.10%)
MSFT,Microsoft,5.85%,487.69,1.77,(0.36%)
AMZN,Amazon,3.95%,228.75,1.4,(0.62%)
GOOGL,Alphabet Inc. (Class A),3.12%,309.54,2.38,(0.77%)
GOOG,Alphabet Inc. (Class C),2.92%,310.95,2.34,(0.76%)
META,Meta Platforms,2.69%,661.86,3.09,(0.47%)
AVGO,Broadcom,2.64%,344.71,4.35,(1.28%)
TSLA,"Tesla, Inc.",2.62%,487.56,6.36,(1.32%)
BRK.B,Berkshire Hathaway,1.73%,496.18,1.65,(0.33%)
LLY,Lilly (Eli),1.55%,1073.25,1.8,(0.17%)
WMT,Walmart,1.47%,114.2,-0.17,(-0.14%)
JPM,JPMorgan Chase,1.40%,318.55,1.34,(0.42%)
V,Visa Inc.,1.08%,348.68,-0.57,(-0.16%)
ORCL,Oracle Corporation,0.91%,197.03,5.06,(2.64%)
MA,Mastercard,0.83%,572.16,-0.08,(-0.01%)
JNJ,Johnson & Johnson,0.80%,206.63,0.25,(0.12%)
XOM,ExxonMobil,0.80%,117.18,0.49,(0.42%)
PLTR,Palantir Technologies,0.75%,194.74,1.36,(0.70%)
BAC,Bank of America,0.65%,55.35,0.08,(0.14%)
NFLX,Netflix,0.65%,94.62,0.22,(0.24%)
ABBV,AbbVie,0.65%,226.53,-0.29,(-0.13%)
COST,Costco,0.61%,854.49,-1.13,(-0.13%)
AMD,Advanced Micro Devices,0.57%,217.92,4.49,(2.10%)
HD,Home Depot (The),0.55%,345.25,0.25,(0.07%)
PG,Procter & Gamble,0.54%,144.05,-0.41,(-0.28%)
GE,GE Aerospace,0.53%,308.84,1.63,(0.53%)
CSCO,Cisco,0.50%,78.62,0.2,(0.25%)
MU,Micron Technology,0.50%,275.66,9.74,(3.66%)
KO,Coca-Cola Company (The),0.49%,70.01,-0.06,(-0.08%)
CVX,Chevron Corporation,0.48%,148.33,0.58,(0.39%)
UNH,UnitedHealth Group,0.47%,324.39,-3.03,(-0.93%)
WFC,Wells Fargo,0.47%,93.14,0.13,(0.13%)
MS,Morgan Stanley,0.46%,178.47,1.49,(0.84%)
IBM,IBM,0.45%,301.61,0.63,(0.21%)
CAT,Caterpillar Inc.,0.44%,580.63,4.4,(0.76%)
GS,Goldman Sachs,0.43%,897.0,3.51,(0.39%)
AXP,American Express,0.42%,377.89,1.38,(0.37%)
MRK,Merck & Co.,0.40%,100.9,-0.2,(-0.19%)
APP,AppLovin Corporation,0.40%,730.84,9.47,(1.31%)
RTX,RTX Corporation,0.40%,183.67,1.66,(0.91%)
PM,Philip Morris International,0.40%,157.35,0.51,(0.33%)
CRM,Salesforce,0.39%,260.45,0.54,(0.21%)
MCD,McDonald's,0.36%,315.36,-0.48,(-0.15%)
TMUS,T-Mobile US,0.36%,197.0,0.27,(0.14%)
LRCX,Lam Research,0.35%,174.61,2.33,(1.36%)
ABT,Abbott Laboratories,0.35%,124.99,-0.46,(-0.36%)
TMO,Thermo Fisher Scientific,0.34%,565.64,-2.2,(-0.39%)
C,Citigroup,0.33%,115.09,0.22,(0.20%)
AMAT,Applied Materials,0.33%,258.27,1.86,(0.73%)
ISRG,Intuitive Surgical,0.33%,573.28,0.81,(0.14%)
PEP,PepsiCo,0.33%,147.85,-0.31,(-0.21%)
