Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.73%,-0.99,(-0.11%)
CAT,Caterpillar Inc.,8.83%,3.21,(0.46%)
MSFT,Microsoft Corporation,5.12%,-1.72,(-0.42%)
HD,"The Home Depot, Inc.",4.78%,1.15,(0.30%)
SHW,Sherwin-Williams,4.53%,3.13,(0.87%)
AXP,American Express Company,4.38%,0.52,(0.15%)
AMGN,Amgen Inc.,4.19%,-3.42,(-1.01%)
V,Visa Inc.,4.11%,0.13,(0.04%)
MCD,McDonald's Corporation,4.00%,0.4,(0.13%)
JPM,JPMorgan Chase & Co.,3.93%,-0.53,(-0.17%)
IBM,International Business Machines Corporation,3.65%,-2.19,(-0.74%)
TRV,"The Travelers Companies, Inc.",3.62%,1.55,(0.54%)
UNH,UnitedHealth Group Incorporated,3.53%,-1.75,(-0.62%)
AAPL,Apple Inc.,3.38%,1.1,(0.41%)
AMZN,"Amazon.com, Inc.amazon.com",2.99%,0.83,(0.35%)
JNJ,Johnson & Johnson,2.93%,1.21,(0.52%)
BA,The Boeing Company,2.92%,0.1,(0.04%)
HON,Honeywell International Inc.,2.89%,0.13,(0.06%)
CRM,"Salesforce, Inc.",2.42%,-2.85,(-1.45%)
NVDA,Nvidia,2.25%,-0.63,(-0.35%)
CVX,Chevron Corporation,2.23%,0.26,(0.15%)
PG,The Procter & Gamble Company,1.94%,0.23,(0.15%)
MMM,3M Company,1.94%,-0.78,(-0.50%)
WMT,Walmart Inc.,1.61%,0.77,(0.60%)
MRK,"Merck & Co., Inc.",1.46%,0.78,(0.68%)
DIS,The Walt Disney Company,1.30%,0.08,(0.08%)
CSCO,"Cisco Systems, Inc.",1.04%,0.34,(0.41%)
KO,The Coca-Cola Company,0.96%,0.18,(0.23%)
NKE,"Nike, Inc.",0.77%,0.27,(0.44%)
VZ,Verizon Communications Inc.,0.58%,0.28,(0.60%)
