Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,6.82%,-4.74,(-2.63%)
AAPL,Apple Inc.,6.50%,7.57,(2.81%)
MSFT,Microsoft,4.92%,3.74,(0.91%)
AMZN,Amazon,4.06%,-0.97,(-0.40%)
GOOGL,Alphabet Inc. (Class A),3.33%,-6.49,(-1.91%)
GOOG,Alphabet Inc. (Class C),3.10%,-6.55,(-1.92%)
META,Meta Platforms,2.73%,-17.11,(-2.47%)
TSLA,"Tesla, Inc.",2.47%,-10.4,(-2.47%)
AVGO,Broadcom,2.34%,-10.88,(-3.40%)
BRK.B,Berkshire Hathaway,1.75%,13.66,(2.77%)
WMT,Walmart,1.63%,0.39,(0.30%)
LLY,Lilly (Eli),1.58%,103.02,(10.27%)
JPM,JPMorgan Chase,1.37%,2.78,(0.88%)
V,Visa Inc.,1.00%,-3.79,(-1.15%)
XOM,ExxonMobil,0.97%,2.28,(1.59%)
JNJ,Johnson & Johnson,0.90%,1.37,(0.59%)
MA,Mastercard,0.78%,-2.33,(-0.42%)
COST,Costco,0.70%,6.79,(0.69%)
MU,Micron Technology,0.69%,-35.52,(-8.47%)
ORCL,Oracle Corporation,0.68%,-5.52,(-3.57%)
BAC,Bank of America,0.64%,1.4,(2.58%)
HD,Home Depot (The),0.62%,7.79,(2.04%)
ABBV,AbbVie,0.59%,-15.94,(-7.06%)
PG,Procter & Gamble,0.59%,2.4,(1.55%)
CVX,Chevron Corporation,0.57%,2.88,(1.62%)
NFLX,Netflix,0.55%,1.25,(1.56%)
PLTR,Palantir Technologies,0.54%,-16.78,(-10.63%)
AMD,Advanced Micro Devices,0.54%,-35.96,(-14.85%)
KO,Coca-Cola Company (The),0.53%,0.53,(0.68%)
CAT,Caterpillar Inc.,0.53%,6.95,(0.99%)
CSCO,Cisco,0.52%,-0.36,(-0.43%)
GE,GE Aerospace,0.51%,-6.29,(-2.03%)
MRK,Merck & Co.,0.47%,2.92,(2.52%)
WFC,Wells Fargo,0.46%,1.21,(1.31%)
MS,Morgan Stanley,0.46%,-1.34,(-0.73%)
PM,Philip Morris International,0.44%,0.89,(0.51%)
GS,Goldman Sachs,0.44%,-20.92,(-2.23%)
