Symbol,Name,Weight,Price,Chg,% Chg
NVDA,Nvidia,7.02%,176.67,0.38,(0.22%)
AAPL,Apple Inc.,6.59%,272.85,-1.26,(-0.46%)
MSFT,Microsoft,5.75%,473.6,-1.22,(-0.26%)
AMZN,Amazon,3.88%,222.29,-0.25,(-0.11%)
GOOGL,Alphabet Inc. (Class A),3.11%,304.56,-3.66,(-1.19%)
GOOG,Alphabet Inc. (Class C),2.90%,305.75,-3.57,(-1.16%)
META,Meta Platforms,2.68%,651.88,4.37,(0.67%)
AVGO,Broadcom,2.62%,339.14,-0.67,(-0.20%)
TSLA,"Tesla, Inc.",2.61%,479.63,4.32,(0.91%)
BRK.B,Berkshire Hathaway,1.77%,501.76,-4.62,(-0.91%)
LLY,Lilly (Eli),1.53%,1046.05,-16.14,(-1.52%)
WMT,Walmart,1.51%,115.92,-0.87,(-0.75%)
JPM,JPMorgan Chase,1.40%,315.33,-4.69,(-1.47%)
V,Visa Inc.,1.09%,346.31,-0.58,(-0.17%)
ORCL,Oracle Corporation,0.88%,186.94,2.02,(1.09%)
MA,Mastercard,0.83%,567.33,-1.8,(-0.32%)
JNJ,Johnson & Johnson,0.83%,210.0,-4.17,(-1.95%)
XOM,ExxonMobil,0.79%,114.94,-2.82,(-2.39%)
PLTR,Palantir Technologies,0.72%,185.24,1.99,(1.09%)
BAC,Bank of America,0.66%,55.02,-0.31,(-0.57%)
NFLX,Netflix,0.65%,94.35,0.58,(0.61%)
ABBV,AbbVie,0.64%,223.07,-4.38,(-1.92%)
COST,Costco,0.62%,854.33,-6.23,(-0.72%)
HD,Home Depot (The),0.58%,354.18,-2.81,(-0.79%)
PG,Procter & Gamble,0.56%,146.1,0.97,(0.67%)
AMD,Advanced Micro Devices,0.55%,207.34,-0.24,(-0.11%)
GE,GE Aerospace,0.51%,298.36,-2.62,(-0.87%)
CSCO,Cisco,0.50%,77.77,-0.48,(-0.62%)
KO,Coca-Cola Company (The),0.50%,70.79,-0.19,(-0.26%)
UNH,UnitedHealth Group,0.50%,335.46,-5.64,(-1.65%)
CVX,Chevron Corporation,0.48%,146.92,-2.88,(-1.92%)
WFC,Wells Fargo,0.47%,91.96,-0.94,(-1.01%)
IBM,IBM,0.46%,301.61,-7.06,(-2.29%)
MS,Morgan Stanley,0.46%,176.76,-1.03,(-0.58%)
