Symbol,Name,Weight,Price,Chg,% Chg
NVDA,Nvidia,13.53%,187.9,-2.63,(-1.38%)
AAPL,Apple Inc.,11.98%,273.62,0.22,(0.08%)
MSFT,Microsoft,10.73%,487.13,-0.58,(-0.12%)
AMZN,Amazon,7.36%,232.37,-0.15,(-0.07%)
GOOGL,Alphabet Inc. (Class A),5.81%,313.3,-0.21,(-0.07%)
GOOG,Alphabet Inc. (Class C),5.41%,314.32,-0.64,(-0.20%)
META,Meta Platforms,4.93%,659.39,-3.9,(-0.59%)
AVGO,Broadcom Inc.,4.92%,349.82,-2.31,(-0.66%)
TSLA,"Tesla, Inc.",4.55%,462.05,-13.14,(-2.76%)
PLTR,Palantir Technologies,1.30%,184.71,-4.0,(-2.12%)
ASML,ASML Holding,1.23%,1067.24,-5.51,(-0.51%)
NFLX,Netflix,1.18%,94.21,-0.27,(-0.28%)
COST,Costco,1.14%,867.72,-5.63,(-0.65%)
AMD,Advanced Micro Devices Inc.,1.04%,215.6,0.61,(0.29%)
MU,Micron Technology,0.98%,293.68,8.89,(3.12%)
CSCO,Cisco,0.91%,77.67,-0.49,(-0.63%)
AZN,AstraZeneca,0.85%,92.72,-0.19,(-0.20%)
APP,Applovin Corp,0.70%,697.19,-17.04,(-2.39%)
TMUS,T-Mobile US,0.67%,203.15,2.15,(1.07%)
LRCX,Lam Research,0.65%,175.73,-2.34,(-1.31%)
SHOP,Shopify,0.65%,168.48,-2.35,(-1.38%)
AMAT,Applied Materials,0.62%,262.8,0.9,(0.34%)
ISRG,Intuitive Surgical,0.60%,575.52,-2.29,(-0.40%)
LIN,Linde plc,0.59%,426.92,2.15,(0.51%)
PEP,PepsiCo,0.58%,144.28,0.5,(0.35%)
INTU,Intuit,0.56%,673.51,-3.04,(-0.45%)
QCOM,Qualcomm,0.55%,173.93,-0.88,(-0.50%)
AMGN,Amgen,0.53%,330.37,-2.56,(-0.77%)
BKNG,Booking Holdings,0.52%,5443.41,3.26,(0.06%)
INTC,Intel,0.52%,36.61,0.4,(1.12%)
KLAC,KLA Corporation,0.49%,1261.7,-17.9,(-1.40%)
PDD,PDD Holdings,0.48%,113.86,-1.15,(-1.00%)
TXN,Texas Instruments,0.47%,175.71,-1.17,(-0.66%)
GILD,Gilead Sciences,0.46%,124.56,-0.14,(-0.12%)
ADBE,Adobe Inc.,0.44%,353.14,-0.67,(-0.19%)
ADI,Analog Devices,0.40%,275.2,-1.64,(-0.59%)
PANW,Palo Alto Networks,0.39%,186.99,-1.46,(-0.77%)
HON,Honeywell,0.37%,197.44,0.07,(0.03%)
CRWD,CrowdStrike,0.36%,476.83,-4.36,(-0.91%)
ARM,Arm Holdings,0.35%,110.81,0.54,(0.49%)
VRTX,Vertex Pharmaceuticals,0.35%,459.28,-3.62,(-0.78%)
CEG,Constellation Energy,0.33%,360.07,-0.39,(-0.11%)
CMCSA,Comcast,0.32%,29.87,0.2,(0.69%)
ADP,ADP,0.31%,259.95,1.11,(0.43%)
MELI,MercadoLibre,0.30%,2018.27,12.56,(0.63%)
DASH,DoorDash,0.29%,230.75,-3.2,(-1.37%)
SBUX,Starbucks,0.29%,85.58,0.5,(0.59%)
SNPS,Synopsys,0.27%,478.86,1.72,(0.36%)
CDNS,Cadence Design Systems,0.26%,318.05,-0.84,(-0.26%)
MAR,Marriott International,0.25%,314.0,-1.58,(-0.50%)
ABNB,Airbnb,0.25%,136.97,0.15,(0.11%)
REGN,Regeneron Pharmaceuticals,0.24%,780.06,-4.91,(-0.63%)
ORLY,O'Reilly Automotive,0.23%,91.66,-0.59,(-0.64%)
CTAS,Cintas,0.23%,190.93,-0.21,(-0.11%)
MNST,Monster Beverage,0.23%,77.91,0.59,(0.77%)
MRVL,Marvell Technology,0.22%,85.56,-0.78,(-0.91%)
WBD,Warner Bros. Discovery,0.21%,28.74,-0.07,(-0.23%)
MDLZ,Mondelez International,0.21%,55.0,0.35,(0.65%)
CSX,CSX Corporation,0.20%,36.75,0.13,(0.34%)
ADSK,Autodesk,0.19%,301.93,1.22,(0.40%)
AEP,American Electric Power,0.18%,115.68,0.01,(0.01%)
FTNT,Fortinet,0.18%,80.76,-0.8,(-0.98%)
TRI,Thomson Reuters Corporation,0.18%,133.28,0.07,(0.05%)
PCAR,Paccar,0.17%,111.5,-0.3,(-0.26%)
ROST,Ross Stores,0.17%,180.9,-0.24,(-0.13%)
WDAY,"Workday, Inc.",0.17%,219.59,-1.11,(-0.50%)
PYPL,PayPal,0.17%,59.56,-0.41,(-0.69%)
NXPI,NXP Semiconductors,0.16%,220.06,-2.81,(-1.26%)
IDXX,Idexx Laboratories,0.16%,685.52,-2.96,(-0.43%)
EA,Electronic Arts,0.15%,204.39,-0.4,(-0.19%)
ROP,Roper Technologies,0.14%,450.34,-0.49,(-0.11%)
DDOG,Datadog,0.14%,138.21,-0.11,(-0.08%)
FAST,Fastenal,0.14%,41.4,-0.16,(-0.38%)
TTWO,Take-Two Interactive,0.14%,255.78,-0.31,(-0.12%)
AXON,Axon Enterprise Inc.,0.14%,582.86,-0.98,(-0.17%)
MSTR,MicroStrategy Inc.,0.13%,156.58,-2.24,(-1.41%)
BKR,Baker Hughes,0.13%,45.51,0.26,(0.56%)
EXC,Exelon,0.13%,43.69,0.13,(0.29%)
XEL,Xcel Energy,0.13%,74.2,-0.22,(-0.30%)
TEAM,Atlassian,0.13%,164.6,1.45,(0.89%)
FANG,Diamondback Energy,0.13%,149.17,2.86,(1.96%)
CCEP,Coca-Cola Europacific Partners,0.12%,91.89,0.2,(0.22%)
CTSH,Cognizant,0.12%,85.28,-0.29,(-0.34%)
PAYX,Paychex,0.12%,114.15,-0.04,(-0.03%)
KDP,Keurig Dr Pepper,0.11%,28.22,0.11,(0.41%)
CPRT,Copart,0.11%,39.55,0.25,(0.62%)
GEHC,GE HealthCare,0.11%,83.39,-0.22,(-0.26%)
ZS,Zscaler,0.11%,228.09,-2.43,(-1.05%)
MCHP,Microchip Technology,0.10%,64.54,-0.4,(-0.62%)
ODFL,Old Dominion Freight Line,0.10%,159.96,0.47,(0.30%)
VRSK,Verisk,0.09%,225.31,4.97,(2.26%)
KHC,Kraft Heinz,0.09%,24.32,0.19,(0.77%)
CSGP,CoStar Group,0.08%,67.48,0.47,(0.71%)
CHTR,Charter Communications,0.08%,208.62,1.46,(0.70%)
DXCM,DexCom,0.08%,67.69,0.12,(0.17%)
BIIB,Biogen,0.08%,177.55,0.46,(0.26%)
LULU,Lululemon Athletica,0.07%,212.36,3.39,(1.62%)
ON,Onsemi,0.06%,54.03,-0.9,(-1.64%)
GFS,GlobalFoundries,0.06%,35.76,-0.05,(-0.15%)
TTD,Trade Desk (The),0.06%,38.61,0.29,(0.77%)
CDW,CDW Corporation,0.05%,138.84,-0.87,(-0.62%)
